id,BLOOMZ_pred_english,BLOOMZ_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
10,0,0,0,0,0,1
23,0,0,0,0,0,1
25,0,0,0,0,1,1
30,0,0,0,0,0,1
39,0,0,0,0,0,1
44,0,0,0,0,0,0
54,0,0,0,0,0,1
55,0,0,0,0,0,0
59,0,0,0,0,0,1
63,0,0,0,0,1,1
66,0,0,0,0,0,1
67,0,0,0,0,0,0
70,0,0,0,0,0,1
72,0,0,0,0,0,1
76,0,0,0,0,0,1
86,0,0,0,0,0,1
88,0,0,0,0,0,0
96,0,0,0,0,0,1
101,0,0,0,0,0,1
107,0,0,0,0,0,0
120,0,0,0,0,0,1
136,0,0,0,0,0,1
139,0,0,0,0,0,1
158,0,0,0,0,0,1
168,0,0,0,0,0,1
174,0,0,0,0,0,1
184,0,0,0,0,1,1
198,0,0,0,0,0,1
199,0,0,0,0,0,0
209,0,0,0,0,1,1
213,0,0,0,0,0,1
215,0,0,0,0,0,1
218,0,0,0,0,0,1
237,0,0,0,0,0,1
244,0,0,0,0,0,1
247,0,0,0,0,0,1
249,0,0,0,0,0,0
259,0,0,0,0,0,1
261,0,0,0,0,0,0
277,0,0,0,0,0,1
281,0,0,0,0,1,1
286,0,0,0,0,0,1
290,0,0,0,0,0,1
294,0,0,0,0,0,1
296,0,0,0,0,0,1
298,0,0,0,0,0,1
309,0,0,0,0,0,1
310,0,0,0,0,0,0
312,0,0,0,0,0,1
314,0,0,0,0,0,0
321,0,0,0,0,0,0
331,0,0,0,0,0,1
332,0,0,0,0,0,1
351,0,0,0,0,0,1
355,0,0,0,0,0,1
365,0,0,0,0,0,1
371,0,0,0,0,0,1
377,0,0,0,0,0,1
380,0,0,0,0,0,0
381,0,0,0,0,0,1
388,0,0,0,0,0,1
394,0,0,0,0,0,1
420,0,0,0,0,0,1
423,0,0,0,0,0,1
429,0,0,0,0,1,1
440,0,0,0,0,0,1
445,0,0,0,0,0,1
447,0,0,0,0,0,1
453,0,0,0,0,0,1
456,0,0,0,0,0,0
465,0,0,0,0,0,1
482,0,0,0,0,0,1
486,0,0,0,0,0,1
495,0,0,0,0,0,1
500,0,0,0,0,0,1
514,0,0,0,0,0,1
516,0,0,0,0,0,1
518,0,0,0,0,0,1
525,0,0,0,0,0,1
527,0,0,0,0,0,1
528,0,0,0,0,0,1
530,0,0,0,0,0,1
535,0,0,0,0,0,1
539,0,0,0,0,0,0
547,0,0,0,0,0,1
557,0,0,0,0,0,1
572,0,0,0,0,0,1
597,0,0,0,0,0,1
603,0,0,0,0,0,1
604,0,0,0,0,0,1
617,0,0,0,0,0,1
626,0,0,0,0,0,1
629,0,0,0,0,0,1
653,0,0,0,0,0,1
655,0,0,0,0,1,1
673,0,0,0,0,0,1
680,0,0,0,0,0,1
682,0,0,0,0,0,1
693,0,0,0,0,1,1
706,0,0,0,0,0,1
716,0,0,0,0,0,1
717,0,0,0,0,1,1
732,0,0,0,0,0,1
734,0,0,0,0,0,1
740,0,0,0,0,0,1
743,0,0,0,0,0,1
751,0,0,0,0,0,1
756,0,0,0,0,0,1
770,0,0,0,0,0,1
784,0,0,0,0,0,1
786,0,0,0,0,1,1
790,0,0,0,0,0,1
792,0,0,0,0,0,1
797,0,0,0,0,0,1
802,0,0,0,0,0,1
808,0,0,0,0,0,1
814,0,0,0,0,0,1
816,0,0,0,0,0,1
826,0,0,0,0,0,1
827,0,0,0,0,0,1
829,0,0,0,0,0,1
834,0,0,0,0,0,1
847,0,0,0,0,0,0
848,0,0,0,0,0,1
852,0,0,0,0,0,1
868,0,0,0,0,1,1
870,0,0,0,0,1,1
874,0,0,0,0,1,1
882,0,0,0,0,0,1
886,0,0,0,0,0,1
894,0,0,0,0,0,1
895,0,0,0,0,0,1
896,0,0,0,0,0,1
903,0,0,0,0,0,1
904,0,0,0,0,0,0
905,0,0,0,0,0,1
919,0,0,0,0,0,1
928,0,0,0,0,0,1
932,0,0,0,0,0,1
941,0,0,0,0,0,1
946,0,0,0,0,0,0
951,0,0,0,0,0,1
953,0,0,0,0,0,1
957,0,0,0,0,0,1
958,0,0,0,0,0,1
962,0,0,0,0,0,1
977,0,0,0,0,0,1
988,0,0,0,0,0,1
996,0,0,0,0,0,1
998,0,0,0,0,0,1
1010,0,0,0,0,0,1
1013,0,0,0,0,0,1
1026,0,0,0,0,0,0
1032,0,0,0,0,0,0
1033,0,0,0,0,0,1
1034,0,0,0,0,0,1
1036,0,0,0,0,0,0
1042,0,0,0,0,0,0
1052,0,0,0,0,0,0
1057,0,0,0,0,0,0
1066,0,0,0,0,0,0
1068,0,0,0,0,0,0
1069,0,0,0,0,0,0
1070,0,0,0,0,0,0
1075,0,0,0,0,0,0
1079,0,0,0,0,0,0
1080,0,0,0,0,0,0
1081,0,0,0,0,0,0
1084,0,0,0,0,0,0
1087,0,0,0,0,0,0
1089,0,0,0,0,0,0
1099,0,0,0,0,0,0
1100,0,0,0,0,0,1
1104,0,0,0,0,0,0
1112,0,0,0,0,0,0
1113,0,0,0,0,0,1
1121,0,0,0,0,0,0
1123,0,0,0,0,0,0
1140,0,0,0,0,0,0
1142,0,0,0,0,0,1
1158,0,0,0,0,0,0
1171,0,0,0,0,0,0
1177,0,0,0,0,0,0
1195,0,0,0,0,0,0
1201,0,0,0,0,0,0
1202,0,0,0,0,0,0
1207,0,0,0,0,0,1
1211,0,0,0,0,0,0
1212,0,0,0,0,0,1
1213,0,0,0,0,0,0
1214,0,0,0,0,0,1
1218,0,0,0,0,0,1
1221,0,0,0,0,0,0
1234,0,0,0,0,0,0
1238,0,0,0,0,0,0
1247,0,0,0,0,0,0
1253,0,0,0,0,0,1
1257,0,0,0,0,0,0
1263,0,0,0,0,0,0
1268,0,0,0,0,0,1
1269,0,0,0,0,0,1
1284,0,0,0,0,0,0
1288,0,0,0,0,0,0
1295,0,0,0,0,0,0
1305,0,0,0,0,0,0
1309,0,0,0,0,0,0
1312,0,0,0,0,0,0
1317,0,0,0,0,0,1
1326,0,0,0,0,0,0
1329,0,0,0,0,0,0
1335,0,0,0,0,0,0
1338,0,0,0,0,0,1
1339,0,0,0,0,0,0
1341,0,0,0,0,0,1
1347,0,0,0,0,0,0
1349,0,0,0,0,0,1
1354,0,0,0,0,0,0
1359,0,0,0,0,0,0
1370,0,0,0,0,0,0
1385,0,0,0,0,0,0
1397,0,0,0,0,0,0
1408,0,0,0,0,0,1
1420,0,0,0,0,0,0
1423,0,0,0,0,0,0
1425,0,0,0,0,0,0
1427,0,0,0,0,0,0
1435,0,0,0,0,0,0
1442,0,0,0,0,0,0
1447,0,0,0,0,0,1
1448,0,0,0,0,0,0
1451,0,0,0,0,0,0
1454,0,0,0,0,0,0
1465,0,0,0,0,0,0
1468,0,0,0,0,0,1
1476,0,0,0,0,0,0
1481,0,0,0,0,0,0
1482,0,0,0,0,0,0
1485,0,0,0,0,0,0
1493,0,0,0,0,0,1
1526,0,0,0,0,0,1
1528,0,0,0,0,0,1
1534,0,0,0,0,0,0
1535,0,0,0,0,0,0
1536,0,0,0,0,0,0
1537,0,0,0,0,0,1
1546,0,0,0,0,0,0
1547,0,0,0,0,0,0
1551,0,0,0,0,0,0
1570,0,0,0,0,0,0
1571,0,0,0,0,0,1
1572,0,0,0,0,0,1
1582,0,0,0,0,0,0
1584,0,0,0,0,0,0
1593,0,0,0,0,0,0
1596,0,0,0,0,0,0
1597,0,0,0,0,0,0
1602,0,0,0,0,0,0
1624,0,0,0,0,0,0
1628,0,0,0,0,0,0
1631,0,0,0,0,0,0
1633,0,0,0,0,0,0
1637,0,0,0,0,0,0
1639,0,0,0,0,0,1
1640,0,0,0,0,0,0
1642,0,0,0,0,0,0
1643,0,0,0,0,0,0
1644,0,0,0,0,0,1
1648,0,0,0,0,0,0
1652,0,0,0,0,0,0
1655,0,0,0,0,0,0
1661,0,0,0,0,0,0
1662,0,0,0,0,0,0
1663,0,0,0,0,0,0
1665,0,0,0,0,0,1
1672,0,0,0,0,0,1
1685,0,0,0,0,0,0
1687,0,0,0,0,0,0
1688,0,0,0,0,0,1
1690,0,0,0,0,0,0
1695,0,0,0,0,0,0
1712,0,0,0,0,0,0
1713,0,0,0,0,0,0
1714,0,0,0,0,0,0
1718,0,0,0,0,0,0
1719,0,0,0,0,0,1
1720,0,0,0,0,0,0
1729,0,0,0,0,0,0
1735,0,0,0,0,0,0
1737,0,0,0,0,0,1
1740,0,0,0,0,0,1
1747,0,0,0,0,0,0
1749,0,0,0,0,0,0
1753,0,0,0,0,0,0
1763,0,0,0,0,0,1
1775,0,0,0,0,0,0
1782,0,0,0,0,0,0
1785,0,0,0,0,0,1
1786,0,0,0,0,0,0
1794,0,0,0,0,0,0
1795,0,0,0,0,0,0
