id,BLOOMZ_pred_polish,BLOOMZ_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
10,1,1,0,0,1
23,1,1,0,0,1
25,1,1,0,0,1
30,1,1,0,0,1
39,0,0,0,0,1
44,1,1,0,0,1
54,1,1,0,0,1
55,1,1,0,0,0
59,1,1,0,0,1
63,1,1,0,0,1
66,1,1,0,0,1
67,1,1,0,0,0
70,1,1,0,0,1
72,1,1,0,0,1
76,1,1,0,0,0
86,1,1,0,0,1
88,1,1,0,0,0
96,1,1,0,0,0
101,1,1,0,0,1
107,1,1,0,0,1
120,1,1,0,0,1
136,1,1,0,0,1
139,1,1,0,0,1
158,1,1,0,0,1
168,1,1,0,0,1
174,1,1,0,0,1
184,1,1,0,0,1
198,1,1,0,0,1
199,1,1,0,0,0
209,1,1,0,0,1
213,1,1,0,0,1
215,1,1,0,0,1
218,1,1,0,0,1
237,1,1,0,0,1
244,1,1,0,0,1
247,1,1,0,0,1
249,1,1,0,0,1
259,1,1,0,0,1
261,1,1,0,0,1
277,1,1,0,0,1
281,1,1,0,0,1
286,1,1,0,0,1
290,1,1,0,0,1
294,1,1,0,0,1
296,1,1,0,0,1
298,1,1,0,0,0
309,1,1,0,0,0
310,1,1,0,0,1
312,1,1,0,0,1
314,1,1,0,0,1
321,1,1,0,0,1
331,1,1,0,0,1
332,1,1,0,0,1
351,1,1,0,0,1
355,1,1,0,0,1
365,1,1,0,0,1
371,1,1,0,0,1
377,0,0,0,0,1
380,1,1,0,0,0
381,1,1,0,0,1
388,1,1,0,0,1
394,1,1,0,0,1
420,1,1,0,0,0
423,1,1,0,0,1
429,1,1,0,0,1
440,1,1,0,0,1
445,1,1,0,0,1
447,1,1,0,0,1
453,1,1,0,0,1
456,1,1,0,0,1
465,1,1,0,0,1
482,1,1,0,0,1
486,1,1,0,0,1
495,1,1,0,0,1
500,1,1,0,0,1
514,1,1,0,0,1
516,1,1,0,0,0
518,1,1,0,0,1
525,1,1,0,0,1
527,1,1,0,0,1
528,1,1,0,0,1
530,1,1,0,0,1
535,1,1,0,0,1
539,1,1,0,0,0
547,1,1,0,0,1
557,1,1,0,0,1
572,1,1,0,0,1
597,1,1,0,0,1
603,1,1,0,0,1
604,1,1,0,0,1
617,1,1,0,0,1
626,1,1,0,0,1
629,1,1,0,0,1
653,1,1,0,0,1
655,1,1,0,0,1
673,1,1,0,0,1
680,1,1,0,0,0
682,1,1,0,0,1
693,1,1,0,0,1
706,1,1,0,0,1
