id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
30,0,0,0,0,0,1
63,0,0,0,0,1,1
67,0,0,0,0,0,0
76,0,0,0,0,0,1
120,0,0,0,0,0,1
136,0,0,0,0,0,1
168,0,0,0,0,0,1
184,0,0,0,0,1,1
209,0,0,0,0,1,1
215,0,0,0,0,0,1
237,0,0,0,0,0,1
247,0,0,0,0,0,1
249,0,0,0,0,0,0
259,0,0,0,0,0,1
261,0,0,0,0,0,0
277,0,0,0,0,0,1
281,0,0,0,0,1,1
286,0,0,0,0,0,1
294,0,0,0,0,0,1
296,0,0,0,0,0,1
314,0,0,0,0,0,0
321,0,0,0,0,0,0
332,0,0,0,0,0,1
355,0,0,0,0,0,1
365,0,0,0,0,0,1
371,0,0,0,0,0,1
381,0,0,0,0,0,1
388,0,0,0,0,0,1
423,0,0,0,0,0,1
429,0,0,0,0,1,1
440,0,0,0,0,0,1
465,0,0,0,0,0,1
486,0,0,0,0,0,1
495,0,0,0,0,0,1
500,0,0,0,0,0,1
525,0,0,0,0,0,1
527,0,0,0,0,0,1
528,0,0,0,0,0,1
530,0,0,0,0,0,1
539,0,0,0,0,0,0
547,0,0,0,0,0,1
557,0,0,0,0,0,1
572,0,0,0,0,0,1
597,0,0,0,0,0,1
617,0,0,0,0,0,1
626,0,0,0,0,0,1
629,0,0,0,0,0,1
653,0,0,0,0,0,1
655,0,0,0,0,1,1
673,0,0,0,0,0,1
682,0,0,0,0,0,1
693,0,0,0,0,1,1
706,0,0,0,0,0,1
716,0,0,0,0,0,1
717,0,0,0,0,1,1
734,0,0,0,0,0,1
740,0,0,0,0,0,1
743,0,0,0,0,0,1
770,0,0,0,0,0,1
786,0,0,0,0,1,1
790,0,0,0,0,0,1
802,0,0,0,0,0,1
808,0,0,0,0,0,1
814,0,0,0,0,0,1
816,0,0,0,0,0,1
829,0,0,0,0,0,1
848,0,0,0,0,0,1
852,0,0,0,0,0,1
868,0,0,0,0,1,1
874,0,0,0,0,1,1
886,0,0,0,0,0,1
894,0,0,0,0,0,1
903,0,0,0,0,0,1
905,0,0,0,0,0,1
919,0,0,0,0,0,1
932,0,0,0,0,0,1
946,0,0,0,0,0,0
951,0,0,0,0,0,1
958,0,0,0,0,0,1
998,0,0,0,0,0,1
