id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
30,1,1,0,0,1
63,1,1,0,0,1
67,1,1,0,0,0
76,1,1,0,0,0
120,1,1,0,0,1
136,1,1,0,0,1
168,1,1,0,0,1
184,1,1,0,0,1
209,1,1,0,0,1
215,1,1,0,0,1
237,1,1,0,0,1
247,1,1,0,0,1
249,1,1,0,0,1
259,1,1,0,0,1
261,1,1,0,0,1
277,1,1,0,0,1
281,1,1,0,0,1
286,1,1,0,0,1
294,1,1,0,0,1
296,1,1,0,0,1
314,1,1,0,0,1
321,1,1,0,0,1
332,1,1,0,0,1
355,1,1,0,0,1
365,1,1,0,0,1
371,1,1,0,0,1
381,1,1,0,0,1
388,1,1,0,0,1
423,1,1,0,0,1
429,1,1,0,0,1
440,1,1,0,0,1
465,1,1,0,0,1
486,1,1,0,0,1
495,1,1,0,0,1
500,1,1,0,0,1
525,1,1,0,0,1
527,1,1,0,0,1
528,1,1,0,0,1
530,1,1,0,0,1
539,1,1,0,0,0
547,1,1,0,0,1
557,1,1,0,0,1
572,1,1,0,0,1
597,1,1,0,0,1
617,1,1,0,0,1
626,1,1,0,0,1
629,1,1,0,0,1
653,1,1,0,0,1
655,1,1,0,0,1
673,1,1,0,0,1
682,1,1,0,0,1
693,1,1,0,0,1
706,1,1,0,0,1
716,1,1,0,0,1
717,1,1,0,0,1
734,1,1,0,0,1
740,1,1,0,0,1
743,1,1,0,0,1
770,1,1,0,0,1
786,1,1,0,0,1
790,1,1,0,0,1
802,1,1,0,0,1
808,1,1,0,0,1
814,1,1,0,0,1
816,1,1,0,0,1
829,1,1,0,0,1
848,1,1,0,0,1
852,1,1,0,0,1
868,1,1,0,0,1
874,1,1,0,0,1
886,1,1,0,0,1
894,1,1,0,0,1
903,1,1,0,0,1
905,1,1,0,0,1
919,1,1,0,0,1
932,1,1,0,0,1
946,1,1,0,0,1
951,1,1,0,0,1
958,1,1,0,0,1
998,1,1,0,0,1
