id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
10,0,0,0,0,0,1
23,0,0,0,0,0,1
25,0,0,0,0,1,1
39,0,0,0,0,0,1
44,0,0,0,0,0,0
54,0,0,0,0,0,1
55,0,0,0,0,0,0
59,0,0,0,0,0,1
66,0,0,0,0,0,1
70,0,0,0,0,0,1
72,0,0,0,0,0,1
86,0,0,0,0,0,1
88,0,0,0,0,0,0
96,0,0,0,0,0,1
101,0,0,0,0,0,1
107,0,0,0,0,0,0
139,0,0,0,0,0,1
158,0,0,0,0,0,1
174,0,0,0,0,0,1
198,0,0,0,0,0,1
199,0,0,0,0,0,0
213,0,0,0,0,0,1
218,0,0,0,0,0,1
244,0,0,0,0,0,1
290,0,0,0,0,0,1
298,0,0,0,0,0,1
309,0,0,0,0,0,1
310,0,0,0,0,0,0
312,0,0,0,0,0,1
331,0,0,0,0,0,1
351,0,0,0,0,0,1
377,0,0,0,0,0,1
380,0,0,0,0,0,0
394,0,0,0,0,0,1
420,0,0,0,0,0,1
445,0,0,0,0,0,1
447,0,0,0,0,0,1
453,0,0,0,0,0,1
456,0,0,0,0,0,0
482,0,0,0,0,0,1
514,0,0,0,0,0,1
516,0,0,0,0,0,1
518,0,0,0,0,0,1
535,0,0,0,0,0,1
603,0,0,0,0,0,1
604,0,0,0,0,0,1
680,0,0,0,0,0,1
732,0,0,0,0,0,1
751,0,0,0,0,0,1
756,0,0,0,0,0,1
784,0,0,0,0,0,1
792,0,0,0,0,0,1
797,0,0,0,0,0,1
826,0,0,0,0,0,1
827,0,0,0,0,0,1
834,0,0,0,0,0,1
847,0,0,0,0,0,0
870,0,0,0,0,1,1
882,0,0,0,0,0,1
895,0,0,0,0,0,1
896,0,0,0,0,0,1
904,0,0,0,0,0,0
928,0,0,0,0,0,1
941,0,0,0,0,0,1
953,0,0,0,0,0,1
957,0,0,0,0,0,1
962,0,0,0,0,0,1
977,0,0,0,0,0,1
988,0,0,0,0,0,1
996,0,0,0,0,0,1
