id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
10,1,1,0,0,1
23,1,1,0,0,1
25,1,1,0,0,1
39,0,0,0,0,1
44,1,1,0,0,1
54,1,1,0,0,1
55,1,1,0,0,0
59,1,1,0,0,1
66,1,1,0,0,1
70,1,1,0,0,1
72,1,1,0,0,1
86,1,1,0,0,1
88,1,1,0,0,0
96,1,1,0,0,0
101,1,1,0,0,1
107,1,1,0,0,1
139,1,1,0,0,1
158,1,1,0,0,1
174,1,1,0,0,1
198,1,1,0,0,1
199,1,1,0,0,0
213,1,1,0,0,1
218,1,1,0,0,1
244,1,1,0,0,1
290,1,1,0,0,1
298,1,1,0,0,0
309,1,1,0,0,0
310,1,1,0,0,1
312,1,1,0,0,1
331,1,1,0,0,1
351,1,1,0,0,1
377,0,0,0,0,1
380,1,1,0,0,0
394,1,1,0,0,1
420,1,1,0,0,0
445,1,1,0,0,1
447,1,1,0,0,1
453,1,1,0,0,1
456,1,1,0,0,1
482,1,1,0,0,1
514,1,1,0,0,1
516,1,1,0,0,0
518,1,1,0,0,1
535,1,1,0,0,1
603,1,1,0,0,1
604,1,1,0,0,1
680,1,1,0,0,0
732,1,1,0,0,1
751,1,1,0,0,1
756,1,1,0,0,1
784,1,1,0,0,1
792,1,1,0,0,1
797,1,1,0,0,1
826,1,1,0,0,1
827,1,1,0,0,1
834,1,1,0,0,1
847,1,1,0,0,1
870,1,1,0,0,1
882,1,1,0,0,1
895,1,1,0,0,1
896,1,1,0,0,1
904,1,1,0,0,1
928,1,1,0,0,1
941,1,1,0,0,1
953,1,1,0,0,1
957,1,1,0,0,1
962,1,1,0,0,0
977,1,1,0,0,1
988,1,1,0,0,1
996,1,1,0,0,1
