id,BLOOMZ_pred_english,BLOOMZ_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
10,0,0,0,0,0,1
23,0,0,0,0,0,1
23,0,0,0,0,0,1
30,0,0,0,0,0,1
30,0,0,0,0,0,1
30,0,0,0,0,0,0
39,0,0,0,0,0,1
49,0,0,0,0,1,1
56,0,0,0,0,1,0
59,0,0,0,0,1,1
59,0,0,0,0,1,0
76,0,0,0,0,0,1
78,0,0,0,0,1,0
83,0,0,0,0,0,1
86,0,0,0,0,1,0
101,0,0,0,0,0,0
107,0,0,0,0,0,0
109,0,0,0,0,1,0
113,0,0,0,0,1,1
136,0,0,0,0,1,1
136,0,0,0,0,1,1
139,0,0,0,0,1,1
139,0,0,0,0,1,0
141,0,0,0,0,1,0
158,0,0,0,0,0,1
168,0,0,0,0,0,1
168,0,0,0,0,0,0
192,0,0,0,0,0,0
192,0,0,0,0,0,0
198,0,0,0,0,1,0
210,0,0,0,0,0,1
243,0,0,0,0,1,1
243,0,0,0,0,1,1
273,0,0,0,0,0,1
273,0,0,0,0,0,1
277,0,0,0,0,1,1
290,0,0,0,0,1,1
294,0,0,0,0,0,0
294,0,0,0,0,0,1
296,0,0,0,0,1,1
306,0,0,0,0,0,1
309,0,0,0,0,1,1
309,0,0,0,0,1,0
318,0,0,0,0,1,1
318,0,0,0,0,1,1
318,0,0,0,0,1,1
321,0,0,0,0,1,1
321,0,0,0,0,1,0
328,0,0,0,0,0,0
331,0,0,0,0,0,1
334,0,0,0,0,1,0
334,0,0,0,0,1,1
346,0,0,0,0,1,0
361,0,0,0,0,0,1
361,0,0,0,0,0,1
370,0,0,0,0,1,1
370,0,0,0,0,1,1
370,0,0,0,0,1,1
389,0,0,0,0,0,0
389,0,0,0,0,0,1
420,0,0,0,0,0,1
420,0,0,0,0,0,1
420,0,0,0,0,0,0
429,0,0,0,0,1,1
435,0,0,0,0,1,1
435,0,0,0,0,1,0
436,,,,,0,0
436,,,,,0,1
439,0,0,0,0,1,0
445,0,0,0,0,0,1
445,0,0,0,0,0,0
458,0,0,0,0,1,0
482,0,0,0,0,0,1
482,0,0,0,0,0,1
490,0,0,0,0,0,0
490,0,0,0,0,0,1
497,0,0,0,0,1,0
499,0,0,0,0,1,1
519,0,0,0,0,0,1
541,0,0,0,0,1,1
551,0,0,0,0,1,1
552,0,0,0,0,1,0
561,0,0,0,0,0,1
566,0,0,0,0,0,0
570,0,0,0,0,0,1
576,0,0,0,0,0,0
576,0,0,0,0,0,1
581,0,0,0,0,1,1
583,0,0,0,0,1,1
585,0,0,0,0,0,1
589,0,0,0,0,1,0
601,0,0,0,0,1,1
616,0,0,0,0,1,0
616,0,0,0,0,1,1
631,0,0,0,0,0,1
634,0,0,0,0,1,0
634,0,0,0,0,1,1
636,0,0,0,0,0,1
636,0,0,0,0,0,0
636,0,0,0,0,0,1
650,0,0,0,0,1,0
656,0,0,0,0,0,1
656,0,0,0,0,0,0
668,0,0,0,0,0,0
668,0,0,0,0,0,0
673,0,0,0,0,0,0
673,0,0,0,0,0,1
693,0,0,0,0,1,1
707,0,0,0,0,1,1
718,0,0,0,0,1,1
718,0,0,0,0,1,1
723,0,0,0,0,0,1
723,0,0,0,0,0,1
740,0,0,0,0,0,1
752,0,0,0,0,1,1
752,0,0,0,0,1,0
755,0,0,0,0,0,0
755,0,0,0,0,0,0
782,0,0,0,0,1,1
808,0,0,0,0,0,1
808,0,0,0,0,0,1
817,0,0,0,0,1,1
819,0,0,0,0,0,1
825,0,0,0,0,1,1
841,0,0,0,0,0,1
841,0,0,0,0,0,1
874,0,0,0,0,0,0
874,0,0,0,0,0,0
877,0,0,0,0,1,0
901,0,0,0,0,1,0
906,0,0,0,0,0,0
906,0,0,0,0,0,0
916,0,0,0,0,0,1
930,0,0,0,0,0,1
930,0,0,0,0,0,0
931,0,0,0,0,1,1
973,0,0,0,0,1,1
984,0,0,0,0,0,1
984,0,0,0,0,0,1
996,0,0,0,0,0,1
1007,0,0,0,0,0,1
1028,0,0,0,0,0,1
1028,0,0,0,0,0,1
1034,0,0,0,0,0,1
1034,0,0,0,0,0,1
1035,0,0,0,0,0,0
1035,0,0,0,0,0,0
1046,0,0,0,0,0,0
1046,0,0,0,0,0,1
1098,0,0,0,0,0,0
1098,0,0,0,0,0,0
1105,0,0,0,0,1,0
1106,0,0,0,0,0,0
1108,0,0,0,0,0,0
1114,0,0,0,0,0,0
1124,0,0,0,0,0,0
1129,0,0,0,0,1,1
1129,0,0,0,0,1,0
1138,0,0,0,0,0,0
1138,0,0,0,0,0,1
1140,0,0,0,0,0,1
1141,0,0,0,0,0,1
1147,0,0,0,0,0,0
1147,0,0,0,0,0,1
1152,0,0,0,0,0,0
1156,0,0,0,0,0,0
1161,0,0,0,0,0,0
1171,0,0,0,0,0,0
1172,0,0,0,0,0,0
1176,0,0,0,0,0,1
1176,0,0,0,0,0,1
1184,0,0,0,0,0,0
1185,0,0,0,0,0,0
1193,0,0,0,0,0,0
1212,0,0,0,0,0,0
1230,0,0,0,0,0,1
1243,0,0,0,0,0,0
1249,0,0,0,0,0,0
1249,0,0,0,0,0,1
1267,0,0,0,0,0,1
1267,0,0,0,0,0,0
1273,0,0,0,0,0,0
1273,0,0,0,0,0,1
1274,0,0,0,0,0,1
1279,0,0,0,0,0,0
1279,0,0,0,0,0,0
1283,0,0,0,0,0,0
1283,0,0,0,0,0,1
1284,0,0,0,0,0,0
1285,0,0,0,0,0,0
1285,0,0,0,0,0,0
1286,0,0,0,0,0,1
1290,0,0,0,0,0,0
1293,0,0,0,0,0,0
1293,0,0,0,0,0,0
1306,0,0,0,0,0,1
1310,0,0,0,0,0,1
1310,0,0,0,0,0,0
1319,0,0,0,0,0,1
1325,0,0,0,0,0,0
1335,0,0,0,0,0,1
1341,0,0,0,0,0,0
1356,0,0,0,0,0,0
1360,0,0,0,0,0,1
1367,0,0,0,0,0,0
1377,0,0,0,0,0,1
1381,0,0,0,0,0,0
1381,0,0,0,0,0,1
1381,0,0,0,0,0,0
1384,0,0,0,0,0,0
1384,0,0,0,0,0,0
1398,0,0,0,0,0,0
1398,0,0,0,0,0,1
1401,0,0,0,0,0,0
1401,0,0,0,0,0,0
1411,0,0,0,0,0,1
1419,0,0,0,0,0,0
1419,0,0,0,0,0,1
1421,0,0,0,0,0,0
1421,0,0,0,0,0,0
1421,0,0,0,0,0,0
1426,0,0,0,0,0,0
1426,0,0,0,0,0,1
1442,0,0,0,0,0,0
1442,0,0,0,0,0,0
1442,0,0,0,0,0,0
1457,0,0,0,0,0,0
1480,0,0,0,0,0,0
1492,0,0,0,0,0,1
1497,0,0,0,0,0,1
1507,0,0,0,0,1,0
1514,0,0,0,0,0,0
1519,0,0,0,0,0,0
1520,0,0,0,0,0,0
1537,0,0,0,0,0,0
1540,0,0,0,0,0,1
1548,0,0,0,0,0,1
1557,0,0,0,0,0,0
1557,0,0,0,0,0,0
1565,0,0,0,0,1,1
1598,0,0,0,0,0,1
1606,0,0,0,0,0,1
1607,0,0,0,0,0,1
1608,0,0,0,0,0,1
1608,0,0,0,0,0,1
1617,0,0,0,0,1,1
1617,0,0,0,0,1,1
1617,0,0,0,0,1,0
1618,0,0,0,0,1,0
1642,0,0,0,0,0,0
1643,0,0,0,0,0,0
1651,0,0,0,0,1,0
1651,0,0,0,0,1,1
1664,0,0,0,0,0,1
1668,0,0,0,0,0,1
1673,0,0,0,0,0,1
1681,0,0,0,0,1,1
1695,0,0,0,0,0,1
1701,0,0,0,0,0,0
1701,0,0,0,0,0,1
1703,0,0,0,0,0,0
1703,0,0,0,0,0,0
1707,0,0,0,0,1,1
1709,0,0,0,0,0,0
1710,0,0,0,0,0,0
1712,0,0,0,0,0,1
1716,0,0,0,0,0,0
1725,0,0,0,0,0,1
1725,0,0,0,0,0,1
1733,0,0,0,0,1,1
1735,0,0,0,0,0,0
1735,0,0,0,0,0,1
1755,0,0,0,0,0,1
1755,0,0,0,0,0,1
1757,0,0,0,0,0,0
1757,0,0,0,0,0,1
1763,0,0,0,0,1,1
1763,0,0,0,0,1,0
1768,0,0,0,0,0,1
1768,0,0,0,0,0,0
1782,0,0,0,0,0,0
1782,0,0,0,0,0,0
1784,0,0,0,0,0,0
1784,0,0,0,0,0,0
1788,0,0,0,0,0,1
1799,0,0,0,0,0,0
1799,0,0,0,0,0,1
1805,0,0,0,0,0,1
1807,0,0,0,0,0,0
1819,0,0,0,0,0,1
1819,0,0,0,0,0,1
1823,0,0,0,0,0,0
1823,0,0,0,0,0,1
1825,0,0,0,0,0,0
1829,0,0,0,0,0,1
1845,0,0,0,0,0,0
1850,0,0,0,0,0,1
1864,0,0,0,0,1,1
1865,0,0,0,0,1,0
