id,BLOOMZ_pred_hindi,BLOOMZ_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
23,0,0,0,0,1
39,0,0,0,0,0
51,0,0,0,0,0
51,0,0,0,0,0
51,0,0,0,0,1
54,0,0,0,0,1
56,0,0,0,0,1
70,0,0,0,0,1
78,0,0,0,0,1
78,0,0,0,0,0
83,0,0,0,0,0
83,0,0,0,0,1
88,0,0,0,0,0
88,0,0,0,0,0
101,0,0,0,0,0
101,0,0,0,0,0
107,0,0,0,0,1
109,0,0,0,0,1
136,0,0,0,0,1
141,0,0,0,0,0
158,0,0,0,0,1
158,0,0,0,0,0
178,0,0,0,0,1
192,0,0,0,0,0
198,0,0,0,0,1
198,0,0,0,0,0
199,0,0,0,0,1
199,0,0,0,0,0
199,0,0,0,0,1
210,0,0,0,0,1
215,0,0,0,0,0
215,0,0,0,0,1
218,0,0,0,0,1
237,0,0,0,0,1
256,0,0,0,0,0
256,0,0,0,0,1
256,0,0,0,0,1
260,0,0,0,0,0
277,0,0,0,0,1
289,0,0,0,0,1
294,0,0,0,0,1
296,0,0,0,0,1
298,0,0,0,0,1
309,0,0,0,0,0
312,0,0,0,0,1
312,0,0,0,0,0
321,0,0,0,0,1
332,0,0,0,0,1
332,0,0,0,0,1
334,0,0,0,0,1
346,0,0,0,0,1
354,0,0,0,0,1
354,0,0,0,0,0
361,0,0,0,0,1
367,0,0,0,0,1
367,0,0,0,0,0
380,0,0,0,0,1
380,0,0,0,0,0
388,0,0,0,0,0
388,0,0,0,0,0
405,0,0,0,0,1
405,0,0,0,0,1
411,0,0,0,0,1
411,0,0,0,0,1
411,0,0,0,0,1
413,0,0,0,0,1
428,0,0,0,0,1
428,0,0,0,0,0
429,0,0,0,0,1
429,0,0,0,0,0
430,0,0,0,0,1
439,0,0,0,0,1
445,0,0,0,0,0
458,0,0,0,0,0
458,0,0,0,0,1
475,0,0,0,0,0
482,0,0,0,0,1
497,0,0,0,0,0
499,0,0,0,0,1
506,0,0,0,0,0
506,0,0,0,0,1
519,0,0,0,0,0
541,0,0,0,0,0
541,0,0,0,0,0
551,0,0,0,0,1
561,0,0,0,0,1
570,0,0,0,0,0
581,0,0,0,0,1
585,0,0,0,0,1
589,0,0,0,0,1
589,0,0,0,0,1
593,0,0,0,0,1
593,0,0,0,0,0
595,0,0,0,0,1
595,0,0,0,0,0
595,0,0,0,0,0
614,0,0,0,0,1
614,0,0,0,0,1
631,0,0,0,0,1
643,0,0,0,0,1
643,0,0,0,0,0
650,0,0,0,0,1
652,0,0,0,0,1
652,0,0,0,0,0
656,0,0,0,0,0
661,0,0,0,0,1
675,0,0,0,0,1
675,0,0,0,0,1
696,0,0,0,0,1
696,0,0,0,0,1
696,0,0,0,0,0
707,0,0,0,0,1
707,0,0,0,0,0
712,0,0,0,0,1
714,0,0,0,0,1
734,0,0,0,0,0
734,0,0,0,0,0
752,0,0,0,0,0
755,0,0,0,0,0
782,0,0,0,0,1
819,0,0,0,0,1
825,0,0,0,0,1
877,0,0,0,0,1
901,0,0,0,0,1
916,0,0,0,0,0
922,0,0,0,0,1
922,0,0,0,0,0
931,0,0,0,0,0
931,0,0,0,0,0
945,0,0,0,0,0
980,0,0,0,0,0
980,0,0,0,0,1
992,0,0,0,0,0
992,0,0,0,0,0
992,0,0,0,0,1
1007,0,0,0,0,1
1035,0,0,0,0,1
1046,0,0,0,0,1
1069,0,0,0,0,1
1082,0,0,0,0,0
1098,0,0,0,0,1
1104,0,0,0,0,1
1104,0,0,0,0,1
1105,0,0,0,0,0
1106,0,0,0,0,0
1108,0,0,0,0,0
1114,0,0,0,0,1
1124,0,0,0,0,0
1138,0,0,0,0,0
1140,0,0,0,0,1
1141,0,0,0,0,0
1147,0,0,0,0,0
1151,0,0,0,0,0
1151,0,0,0,0,0
1153,0,0,0,0,0
1153,0,0,0,0,1
1159,0,0,0,0,0
1161,0,0,0,0,0
1171,0,0,0,0,0
1171,0,0,0,0,0
1172,0,0,0,0,1
1184,0,0,0,0,1
1184,0,0,0,0,0
1185,0,0,0,0,1
1193,0,0,0,0,0
1212,0,0,0,0,0
1212,0,0,0,0,0
1214,0,0,0,0,0
1214,0,0,0,0,1
1230,0,0,0,0,1
1243,0,0,0,0,1
1249,0,0,0,0,1
1267,0,0,0,0,1
1273,0,0,0,0,1
1274,0,0,0,0,1
1274,0,0,0,0,0
1279,0,0,0,0,0
1284,0,0,0,0,1
1285,0,0,0,0,0
1286,0,0,0,0,1
1286,0,0,0,0,0
1293,0,0,0,0,0
1306,0,0,0,0,1
1306,0,0,0,0,0
1310,0,0,0,0,0
1319,0,0,0,0,0
1335,0,0,0,0,0
1335,0,0,0,0,0
1340,0,0,0,0,1
1340,0,0,0,0,0
1341,0,0,0,0,1
1356,0,0,0,0,1
1360,0,0,0,0,0
1360,0,0,0,0,0
1367,0,0,0,0,1
1389,0,0,0,0,0
1398,0,0,0,0,0
1407,0,0,0,0,0
1407,0,0,0,0,0
1410,0,0,0,0,0
1413,0,0,0,0,1
1413,0,0,0,0,0
1413,0,0,0,0,1
1426,0,0,0,0,0
1431,0,0,0,0,0
1431,0,0,0,0,0
1431,0,0,0,0,0
1457,0,0,0,0,0
1457,0,0,0,0,1
1469,0,0,0,0,0
1469,0,0,0,0,1
1469,0,0,0,0,1
1480,0,0,0,0,0
1480,0,0,0,0,1
1495,0,0,0,0,1
1495,0,0,0,0,0
1497,0,0,0,0,0
1499,0,0,0,0,0
1499,0,0,0,0,1
1520,0,0,0,0,0
1523,0,0,0,0,1
1523,0,0,0,0,0
1526,0,0,0,0,1
