id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
49,1,1,0,0,1
49,1,1,0,0,1
59,1,1,0,0,0
139,1,1,0,0,0
210,1,1,0,0,1
215,1,1,0,0,0
306,0,0,0,0,1
306,0,0,0,0,1
328,1,1,0,0,1
328,1,1,0,0,0
331,1,1,0,0,1
331,1,1,0,0,1
346,1,1,0,0,0
354,0,0,0,0,0
389,1,1,0,0,0
413,1,1,0,0,0
413,1,1,0,0,0
430,1,1,0,0,0
430,1,1,0,0,1
439,1,1,0,0,1
490,1,1,0,0,1
551,1,1,0,0,1
593,1,1,0,0,1
782,1,1,0,0,1
819,1,1,0,0,1
916,1,1,0,0,1
945,1,1,0,0,1
945,1,1,0,0,0
1082,1,1,0,0,0
1082,1,1,0,0,0
1214,1,1,0,0,0
1243,1,1,0,0,0
1283,1,1,0,0,0
1356,1,1,0,0,0
1367,1,1,0,0,1
1492,1,0,0,0,0
1492,1,0,0,0,0
1495,1,1,0,0,1
1526,1,1,0,0,1
1548,1,1,0,0,0
1554,1,1,0,0,1
1554,1,1,0,0,0
1554,1,1,0,0,0
1643,1,1,0,0,1
1643,1,1,0,0,0
1681,1,1,0,0,0
1695,0,0,0,0,1
1695,0,0,0,0,0
1716,0,0,0,0,0
1716,0,0,0,0,1
1789,1,1,0,0,1
1865,1,1,0,0,0
1865,1,1,0,0,1
