id,BLOOM_pred_hindi,BLOOM_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
23,0.0,0.0,0.0,0.0,1
39,0.0,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,1
54,0.0,0.0,0.0,0.0,1
56,0.0,0.0,0.0,0.0,1
70,0.0,0.0,0.0,0.0,1
78,0.0,0.0,0.0,0.0,1
78,0.0,0.0,0.0,0.0,0
83,0.0,0.0,0.0,0.0,0
83,0.0,0.0,0.0,0.0,1
88,0.0,0.0,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0
101,0.0,0.0,0.0,0.0,0
101,0.0,0.0,0.0,0.0,0
107,0.0,0.0,0.0,0.0,1
109,0.0,0.0,0.0,0.0,1
136,0.0,0.0,0.0,0.0,1
141,0.0,0.0,0.0,0.0,0
158,0.0,0.0,0.0,0.0,1
158,0.0,0.0,0.0,0.0,0
178,0.0,0.0,0.0,0.0,1
192,0.0,0.0,0.0,0.0,0
198,0.0,0.0,0.0,0.0,1
198,0.0,0.0,0.0,0.0,0
199,0.0,0.0,0.0,0.0,1
199,0.0,0.0,0.0,0.0,0
199,0.0,0.0,0.0,0.0,1
210,0.0,0.0,0.0,0.0,1
215,0.0,0.0,0.0,0.0,0
215,0.0,0.0,0.0,0.0,1
218,0.0,0.0,0.0,0.0,1
237,0.0,0.0,0.0,0.0,1
256,0.0,0.0,0.0,0.0,0
256,0.0,0.0,0.0,0.0,1
256,0.0,0.0,0.0,0.0,1
260,0.0,0.0,0.0,0.0,0
277,0.0,0.0,0.0,0.0,1
289,0.0,0.0,0.0,0.0,1
294,0.0,0.0,0.0,0.0,1
296,0.0,0.0,0.0,0.0,1
298,0.0,0.0,0.0,0.0,1
309,0.0,0.0,0.0,0.0,0
312,0.0,0.0,0.0,0.0,1
312,0.0,0.0,0.0,0.0,0
321,0.0,0.0,0.0,0.0,1
332,0.0,0.0,0.0,0.0,1
332,0.0,0.0,0.0,0.0,1
334,0.0,0.0,0.0,0.0,1
346,0.0,0.0,0.0,0.0,1
354,0.0,0.0,0.0,0.0,1
354,0.0,0.0,0.0,0.0,0
361,0.0,0.0,0.0,0.0,1
367,0.0,0.0,0.0,0.0,1
