id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
10,1,1,0,0,1
10,1,1,0,0,0
31,0,0,0,0,0
31,0,0,0,0,0
31,0,0,0,0,0
39,1,1,0,0,0
49,1,1,0,0,1
49,1,1,0,0,1
54,0,0,0,0,0
54,0,0,0,0,1
56,1,1,0,0,1
59,1,1,0,0,0
70,1,1,0,0,1
70,1,1,0,0,0
76,1,1,0,0,1
76,1,1,0,0,1
86,1,1,0,0,1
86,1,1,0,0,0
88,1,1,0,0,1
96,1,1,0,0,1
96,1,1,0,0,1
96,1,1,0,0,1
107,1,1,0,0,1
109,1,1,0,0,0
113,1,0,0,0,1
113,1,0,0,0,1
139,1,1,0,0,0
141,1,1,0,0,0
168,1,1,0,0,0
178,1,1,0,0,0
178,1,1,0,0,0
210,1,1,0,0,1
215,1,1,0,0,0
218,1,1,0,0,0
218,1,1,0,0,1
237,1,1,0,0,1
237,1,1,0,0,1
243,1,1,0,0,0
244,1,1,0,0,1
244,1,1,0,0,0
244,1,1,0,0,1
247,1,1,0,0,1
247,1,1,0,0,0
247,1,1,0,0,0
260,0,1,0,0,1
260,0,1,0,0,1
265,1,1,0,0,1
265,1,1,0,0,1
265,1,1,0,0,1
273,1,1,0,0,0
277,1,1,0,0,0
280,1,1,0,0,1
280,1,1,0,0,0
280,1,1,0,0,0
289,0,0,0,0,0
289,0,0,0,0,1
290,1,1,0,0,1
290,1,1,0,0,1
296,1,1,0,0,0
298,1,1,0,0,1
298,1,1,0,0,1
306,0,0,0,0,1
306,0,0,0,0,1
312,0,0,0,0,1
328,1,1,0,0,1
328,1,1,0,0,0
331,1,1,0,0,1
331,1,1,0,0,1
332,1,1,0,0,1
346,1,1,0,0,0
354,0,0,0,0,0
367,1,1,0,0,1
380,1,1,0,0,1
388,1,1,0,0,0
389,1,1,0,0,0
405,1,1,0,0,0
413,1,1,0,0,0
413,1,1,0,0,0
428,1,1,0,0,0
430,1,1,0,0,0
430,1,1,0,0,1
435,1,1,0,0,1
436,1,1,0,0,1
439,1,1,0,0,1
475,0,1,0,0,1
475,0,1,0,0,0
490,1,1,0,0,1
497,1,1,0,0,1
499,1,1,0,0,1
506,1,1,0,0,1
519,1,1,0,0,1
551,1,1,0,0,1
552,1,1,0,0,1
552,1,1,0,0,0
561,1,1,0,0,1
566,1,1,0,0,0
566,1,1,0,0,1
570,1,1,0,0,1
576,0,0,0,0,0
581,1,1,0,0,1
583,1,1,0,0,1
583,1,1,0,0,0
585,1,1,0,0,0
593,1,1,0,0,1
601,1,1,0,0,1
601,1,1,0,0,1
614,1,1,0,0,1
616,1,1,0,0,1
631,1,1,0,0,0
634,1,1,0,0,0
643,1,1,0,0,1
650,1,1,0,0,1
652,1,1,0,0,1
661,1,1,0,0,1
661,1,1,0,0,0
668,0,0,0,0,0
675,1,1,0,0,0
693,1,0,0,0,1
693,1,0,0,0,1
712,1,1,0,0,1
712,1,1,0,0,1
714,1,1,0,0,1
714,1,1,0,0,1
718,1,1,0,0,1
723,1,1,0,0,1
734,1,1,0,0,0
740,1,1,0,0,1
740,1,1,0,0,0
782,1,1,0,0,1
808,1,1,0,0,1
813,1,1,0,0,1
813,1,1,0,0,0
813,1,1,0,0,0
817,0,0,0,0,0
817,0,0,0,0,1
819,1,1,0,0,1
825,1,1,0,0,1
841,1,1,0,0,1
874,1,1,0,0,1
877,1,1,0,0,1
901,1,1,0,0,0
906,1,1,0,0,1
916,1,1,0,0,1
922,0,0,0,0,0
930,1,1,0,0,1
945,1,1,0,0,1
945,1,1,0,0,0
973,1,1,0,0,1
973,1,1,0,0,1
980,1,1,0,0,1
984,1,1,0,0,1
996,1,1,0,0,0
996,1,1,0,0,1
1002,1,1,0,0,0
1002,1,1,0,0,1
1002,1,1,0,0,0
1007,1,1,0,0,1
1028,1,1,0,0,1
1034,1,1,0,0,1
1069,0,0,0,0,1
1069,0,0,0,0,1
