id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
78,0.0,0.0,0.0,0.0,1,0
107,0.0,0.0,0.0,0.0,0,0
192,0.0,0.0,0.0,0.0,0,0
192,0.0,0.0,0.0,0.0,0,0
277,0.0,0.0,0.0,0.0,1,1
290,0.0,0.0,0.0,0.0,1,1
321,0.0,0.0,0.0,0.0,1,1
321,0.0,0.0,0.0,0.0,1,0
420,0.0,0.0,0.0,0.0,0,1
420,0.0,0.0,0.0,0.0,0,1
420,0.0,0.0,0.0,0.0,0,0
482,0.0,0.0,0.0,0.0,0,1
482,0.0,0.0,0.0,0.0,0,1
497,0.0,0.0,0.0,0.0,1,0
499,0.0,0.0,0.0,0.0,1,1
519,0.0,0.0,0.0,0.0,0,1
616,0.0,0.0,0.0,0.0,1,0
616,0.0,0.0,0.0,0.0,1,1
636,0.0,0.0,0.0,0.0,0,1
636,0.0,0.0,0.0,0.0,0,0
636,0.0,0.0,0.0,0.0,0,1
718,0.0,0.0,0.0,0.0,1,1
718,0.0,0.0,0.0,0.0,1,1
755,0.0,0.0,0.0,0.0,0,0
755,0.0,0.0,0.0,0.0,0,0
808,0.0,0.0,0.0,0.0,0,1
808,0.0,0.0,0.0,0.0,0,1
841,0.0,0.0,0.0,0.0,0,1
841,0.0,0.0,0.0,0.0,0,1
906,0.0,0.0,0.0,0.0,0,0
906,0.0,0.0,0.0,0.0,0,0
930,0.0,0.0,0.0,0.0,0,1
930,0.0,0.0,0.0,0.0,0,0
973,0.0,0.0,0.0,0.0,1,1
996,0.0,0.0,0.0,0.0,0,1
1028,0.0,0.0,0.0,0.0,0,1
1028,0.0,0.0,0.0,0.0,0,1
1034,0.0,0.0,0.0,0.0,0,1
1034,0.0,0.0,0.0,0.0,0,1
1106,0.0,0.0,0.0,0.0,0,0
1138,0.0,0.0,0.0,0.0,0,0
1138,0.0,0.0,0.0,0.0,0,1
1156,0.0,0.0,0.0,0.0,0,0
1161,0.0,0.0,0.0,0.0,0,0
1267,0.0,0.0,0.0,0.0,0,1
1267,0.0,0.0,0.0,0.0,0,0
1279,0.0,0.0,0.0,0.0,0,0
1279,0.0,0.0,0.0,0.0,0,0
1310,0.0,0.0,0.0,0.0,0,1
1310,0.0,0.0,0.0,0.0,0,0
1319,0.0,0.0,0.0,0.0,0,1
1377,0.0,0.0,0.0,0.0,0,1
1421,0.0,0.0,0.0,0.0,0,0
1421,0.0,0.0,0.0,0.0,0,0
1421,0.0,0.0,0.0,0.0,0,0
1540,0.0,0.0,0.0,0.0,0,1
1557,0.0,0.0,0.0,0.0,0,0
1557,0.0,0.0,0.0,0.0,0,0
1725,0.0,0.0,0.0,0.0,0,1
1725,0.0,0.0,0.0,0.0,0,1
1845,0.0,0.0,0.0,0.0,0,0
