id,BLOOM_pred_hindi,BLOOM_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
78,0.0,0.0,0.0,0.0,1
78,0.0,0.0,0.0,0.0,0
107,0.0,0.0,0.0,0.0,1
192,0.0,0.0,0.0,0.0,0
218,0.0,0.0,0.0,0.0,1
277,0.0,0.0,0.0,0.0,1
289,0.0,0.0,0.0,0.0,1
321,0.0,0.0,0.0,0.0,1
367,0.0,0.0,0.0,0.0,1
367,0.0,0.0,0.0,0.0,0
428,0.0,0.0,0.0,0.0,1
428,0.0,0.0,0.0,0.0,0
475,0.0,0.0,0.0,0.0,0
482,0.0,0.0,0.0,0.0,1
497,0.0,0.0,0.0,0.0,0
499,0.0,0.0,0.0,0.0,1
506,0.0,0.0,0.0,0.0,0
506,0.0,0.0,0.0,0.0,1
519,0.0,0.0,0.0,0.0,0
643,0.0,0.0,0.0,0.0,1
643,0.0,0.0,0.0,0.0,0
714,0.0,0.0,0.0,0.0,1
734,0.0,0.0,0.0,0.0,0
734,0.0,0.0,0.0,0.0,0
755,0.0,0.0,0.0,0.0,0
1106,0.0,0.0,0.0,0.0,0
1138,0.0,0.0,0.0,0.0,0
1159,0.0,0.0,0.0,0.0,0
1161,0.0,0.0,0.0,0.0,0
1267,0.0,0.0,0.0,0.0,1
1279,0.0,0.0,0.0,0.0,0
1310,0.0,0.0,0.0,0.0,0
1319,0.0,0.0,0.0,0.0,0
1523,0.0,0.0,0.0,0.0,1
1523,0.0,0.0,0.0,0.0,0
1540,0.0,0.0,0.0,0.0,1
1715,0.0,0.0,0.0,0.0,0
1715,0.0,0.0,0.0,0.0,1
1845,0.0,0.0,0.0,0.0,0
