id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
107,1,1,0,0,1
218,1,1,0,0,0
218,1,1,0,0,1
247,1,1,0,0,1
247,1,1,0,0,0
247,1,1,0,0,0
277,1,1,0,0,0
289,0,0,0,0,0
289,0,0,0,0,1
290,1,1,0,0,1
290,1,1,0,0,1
367,1,1,0,0,1
428,1,1,0,0,0
475,0,1,0,0,1
475,0,1,0,0,0
497,1,1,0,0,1
499,1,1,0,0,1
506,1,1,0,0,1
519,1,1,0,0,1
616,1,1,0,0,1
643,1,1,0,0,1
714,1,1,0,0,1
714,1,1,0,0,1
718,1,1,0,0,1
734,1,1,0,0,0
808,1,1,0,0,1
841,1,1,0,0,1
906,1,1,0,0,1
930,1,1,0,0,1
973,1,1,0,0,1
973,1,1,0,0,1
996,1,1,0,0,0
996,1,1,0,0,1
1028,1,1,0,0,1
1034,1,1,0,0,1
1106,1,1,0,0,0
1156,0,0,0,0,0
1156,0,0,0,0,1
1159,1,1,0,0,0
1159,1,1,0,0,1
1161,1,1,0,0,0
1319,0,0,0,0,1
1377,1,1,0,0,0
1377,1,1,0,0,1
1523,1,1,0,0,0
1540,0,0,0,0,0
1557,1,1,0,0,0
1715,1,1,0,0,0
1725,1,1,0,0,1
1845,1,1,0,0,1
