id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
1082,1,1,0,0,0
1082,1,1,0,0,0
1085,1,1,0,0,0
1085,1,1,0,0,1
1085,1,1,0,0,0
1104,1,1,0,0,0
1105,1,1,0,0,1
1106,1,1,0,0,0
1108,1,1,0,0,0
1114,1,0,0,0,0
1124,1,1,0,0,1
1129,1,1,0,0,0
1140,1,1,0,0,0
1141,0,0,0,0,0
1142,1,1,0,0,1
1142,1,1,0,0,0
1142,1,1,0,0,1
1151,0,0,0,0,1
1152,1,1,0,0,1
1152,1,1,0,0,1
1156,0,0,0,0,0
1156,0,0,0,0,1
1159,1,1,0,0,0
1159,1,1,0,0,1
1161,1,1,0,0,0
1172,1,0,0,0,0
1176,0,0,0,0,0
1185,1,1,0,0,0
1193,1,1,0,0,0
1195,0,0,0,0,0
1195,0,0,0,0,0
1195,0,0,0,0,1
1214,1,1,0,0,0
1230,1,1,0,0,1
1243,1,1,0,0,0
1283,1,1,0,0,0
1284,1,1,0,0,0
1290,1,1,0,0,0
1290,1,1,0,0,0
1319,0,0,0,0,1
1325,0,0,0,0,0
1325,0,0,0,0,0
1329,0,0,0,0,0
1329,0,0,0,0,0
1329,0,0,0,0,1
1340,1,1,0,0,1
1341,1,1,0,0,1
1356,1,1,0,0,0
1367,1,1,0,0,1
1377,1,1,0,0,0
1377,1,1,0,0,1
1384,1,1,0,0,0
1389,1,1,0,0,0
1389,1,1,0,0,1
1401,1,1,0,0,1
1407,1,1,0,0,1
1410,1,1,0,0,0
1410,1,1,0,0,0
1411,1,1,0,0,0
1411,1,1,0,0,1
1419,1,1,0,0,1
