id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
1457,0.0,0.0,0.0,0.0,0,0
1480,0.0,0.0,0.0,0.0,0,0
1492,0.0,0.0,0.0,0.0,0,1
1497,0.0,0.0,0.0,0.0,0,1
1507,0.0,0.0,0.0,0.0,1,0
1514,0.0,0.0,0.0,0.0,0,0
1519,0.0,0.0,0.0,0.0,0,0
1520,0.0,0.0,0.0,0.0,0,0
1537,0.0,0.0,0.0,0.0,0,0
1540,0.0,0.0,0.0,0.0,0,1
1548,0.0,0.0,0.0,0.0,0,1
1557,0.0,0.0,0.0,0.0,0,0
1557,0.0,0.0,0.0,0.0,0,0
1565,0.0,0.0,0.0,0.0,1,1
1598,0.0,0.0,0.0,0.0,0,1
1606,0.0,0.0,0.0,0.0,0,1
1607,0.0,0.0,0.0,0.0,0,1
1608,0.0,0.0,0.0,0.0,0,1
1608,0.0,0.0,0.0,0.0,0,1
1617,0.0,0.0,0.0,0.0,1,1
1617,0.0,0.0,0.0,0.0,1,1
1617,0.0,0.0,0.0,0.0,1,0
1618,0.0,0.0,0.0,0.0,1,0
1642,0.0,0.0,0.0,0.0,0,0
1643,0.0,0.0,0.0,0.0,0,0
1651,0.0,0.0,0.0,0.0,1,0
1651,0.0,0.0,0.0,0.0,1,1
1664,0.0,0.0,0.0,0.0,0,1
1668,0.0,0.0,0.0,0.0,0,1
1673,0.0,0.0,0.0,0.0,0,1
1681,0.0,0.0,0.0,0.0,1,1
1695,0.0,0.0,0.0,0.0,0,1
1701,0.0,0.0,0.0,0.0,0,0
1701,0.0,0.0,0.0,0.0,0,1
1703,0.0,0.0,0.0,0.0,0,0
1703,0.0,0.0,0.0,0.0,0,0
1707,0.0,0.0,0.0,0.0,1,1
1709,0.0,0.0,0.0,0.0,0,0
1710,0.0,0.0,0.0,0.0,0,0
1712,0.0,0.0,0.0,0.0,0,1
1716,0.0,0.0,0.0,0.0,0,0
1725,0.0,0.0,0.0,0.0,0,1
1725,0.0,0.0,0.0,0.0,0,1
1733,0.0,0.0,0.0,0.0,1,1
1735,0.0,0.0,0.0,0.0,0,0
1735,0.0,0.0,0.0,0.0,0,1
1755,0.0,0.0,0.0,0.0,0,1
1755,0.0,0.0,0.0,0.0,0,1
1757,0.0,0.0,0.0,0.0,0,0
1757,0.0,0.0,0.0,0.0,0,1
1763,0.0,0.0,0.0,0.0,1,1
1763,0.0,0.0,0.0,0.0,1,0
1768,0.0,0.0,0.0,0.0,0,1
1768,0.0,0.0,0.0,0.0,0,0
1782,0.0,0.0,0.0,0.0,0,0
1782,0.0,0.0,0.0,0.0,0,0
1784,0.0,0.0,0.0,0.0,0,0
1784,0.0,0.0,0.0,0.0,0,0
1788,0.0,0.0,0.0,0.0,0,1
1799,0.0,0.0,0.0,0.0,0,0
1799,0.0,0.0,0.0,0.0,0,1
1805,0.0,0.0,0.0,0.0,0,1
1807,0.0,0.0,0.0,0.0,0,0
1819,0.0,0.0,0.0,0.0,0,1
1819,0.0,0.0,0.0,0.0,0,1
1823,0.0,0.0,0.0,0.0,0,0
1823,0.0,0.0,0.0,0.0,0,1
1825,0.0,0.0,0.0,0.0,0,0
1829,0.0,0.0,0.0,0.0,0,1
1845,0.0,0.0,0.0,0.0,0,0
1850,0.0,0.0,0.0,0.0,0,1
1864,0.0,0.0,0.0,0.0,1,1
1865,0.0,0.0,0.0,0.0,1,0
