id,BLOOM_pred_hindi,BLOOM_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
1457,0.0,0.0,0.0,0.0,0
1457,0.0,0.0,0.0,0.0,1
1469,0.0,0.0,0.0,0.0,0
1469,0.0,0.0,0.0,0.0,1
1469,0.0,0.0,0.0,0.0,1
1480,0.0,0.0,0.0,0.0,0
1480,0.0,0.0,0.0,0.0,1
1495,0.0,0.0,0.0,0.0,1
1495,0.0,0.0,0.0,0.0,0
1497,0.0,0.0,0.0,0.0,0
1499,0.0,0.0,0.0,0.0,0
1499,0.0,0.0,0.0,0.0,1
1520,0.0,0.0,0.0,0.0,0
1523,0.0,0.0,0.0,0.0,1
1523,0.0,0.0,0.0,0.0,0
1526,0.0,0.0,0.0,0.0,1
1526,0.0,0.0,0.0,0.0,1
1537,0.0,0.0,0.0,0.0,1
1540,0.0,0.0,0.0,0.0,1
1548,0.0,0.0,0.0,0.0,0
1553,0.0,0.0,0.0,0.0,0
1553,0.0,0.0,0.0,0.0,0
1565,0.0,0.0,0.0,0.0,1
1597,0.0,0.0,0.0,0.0,1
1597,0.0,0.0,0.0,0.0,0
1598,0.0,0.0,0.0,0.0,0
1598,0.0,0.0,0.0,0.0,1
1605,0.0,0.0,0.0,0.0,0
1606,0.0,0.0,0.0,0.0,1
1607,0.0,0.0,0.0,0.0,0
1608,0.0,0.0,0.0,0.0,1
1618,0.0,0.0,0.0,0.0,1
1622,0.0,0.0,0.0,0.0,0
1622,0.0,0.0,0.0,0.0,0
1629,0.0,0.0,0.0,0.0,1
1629,0.0,0.0,0.0,0.0,1
1642,0.0,0.0,0.0,0.0,1
1642,0.0,0.0,0.0,0.0,1
1651,0.0,0.0,0.0,0.0,0
1653,0.0,0.0,0.0,0.0,0
1653,0.0,0.0,0.0,0.0,0
1655,0.0,0.0,0.0,0.0,0
1655,0.0,0.0,0.0,0.0,0
1668,0.0,0.0,0.0,0.0,0
1673,0.0,0.0,0.0,0.0,0
1681,0.0,0.0,0.0,0.0,0
1699,0.0,0.0,0.0,0.0,1
1699,0.0,0.0,0.0,0.0,0
1701,0.0,0.0,0.0,0.0,0
1707,0.0,0.0,0.0,0.0,0
1709,0.0,0.0,0.0,0.0,0
1710,0.0,0.0,0.0,0.0,0
1710,0.0,0.0,0.0,0.0,1
1715,0.0,0.0,0.0,0.0,0
1715,0.0,0.0,0.0,0.0,1
1731,0.0,0.0,0.0,0.0,1
1731,0.0,0.0,0.0,0.0,0
1733,0.0,0.0,0.0,0.0,0
1733,0.0,0.0,0.0,0.0,0
1735,0.0,0.0,0.0,0.0,0
1744,0.0,0.0,0.0,0.0,0
1744,0.0,0.0,0.0,0.0,1
1755,0.0,0.0,0.0,0.0,1
1757,0.0,0.0,0.0,0.0,1
1758,0.0,0.0,0.0,0.0,1
1760,0.0,0.0,0.0,0.0,1
1760,0.0,0.0,0.0,0.0,0
1760,0.0,0.0,0.0,0.0,1
1763,0.0,0.0,0.0,0.0,1
1765,0.0,0.0,0.0,0.0,0
1784,0.0,0.0,0.0,0.0,0
1788,0.0,0.0,0.0,0.0,0
1789,0.0,0.0,0.0,0.0,0
1789,0.0,0.0,0.0,0.0,1
1790,0.0,0.0,0.0,0.0,0
1790,0.0,0.0,0.0,0.0,1
1799,0.0,0.0,0.0,0.0,1
1805,0.0,0.0,0.0,0.0,0
1817,0.0,0.0,0.0,0.0,1
1817,0.0,0.0,0.0,0.0,1
1823,0.0,0.0,0.0,0.0,0
1825,0.0,0.0,0.0,0.0,1
1825,0.0,0.0,0.0,0.0,0
1829,0.0,0.0,0.0,0.0,1
1833,0.0,0.0,0.0,0.0,0
1845,0.0,0.0,0.0,0.0,0
1850,0.0,0.0,0.0,0.0,0
1850,0.0,0.0,0.0,0.0,1
1855,0.0,0.0,0.0,0.0,1
1855,0.0,0.0,0.0,0.0,1
1856,0.0,0.0,0.0,0.0,1
1864,0.0,0.0,0.0,0.0,1
