id,BLOOM_pred_polish,BLOOM_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
1492,1,0,0,0,0
1492,1,0,0,0,0
1495,1,1,0,0,1
1497,1,1,0,0,0
1499,1,1,0,0,1
1507,1,1,0,0,0
1507,1,1,0,0,1
1514,1,1,0,0,1
1514,1,1,0,0,0
1519,1,1,0,0,1
1519,1,1,0,0,0
1520,1,1,0,0,1
1523,1,1,0,0,0
1526,1,1,0,0,1
1537,1,1,0,0,0
1540,0,0,0,0,0
1548,1,1,0,0,0
1553,1,1,0,0,0
1554,1,1,0,0,1
1554,1,1,0,0,0
1554,1,1,0,0,0
1557,1,1,0,0,0
1565,1,1,0,0,0
1597,1,1,0,0,1
1605,1,1,0,0,1
1605,1,1,0,0,1
1606,1,1,0,0,0
1607,1,1,0,0,0
1618,1,1,0,0,1
1622,1,1,0,0,1
1629,1,1,0,0,0
1643,1,1,0,0,1
1643,1,1,0,0,0
1653,0,1,0,0,1
1655,1,1,0,0,0
1664,1,1,0,0,1
1664,1,1,0,0,1
1668,1,1,0,0,0
1673,1,1,0,0,1
1681,1,1,0,0,0
1695,0,0,0,0,1
1695,0,0,0,0,0
1699,1,1,0,0,1
1703,1,1,0,0,1
1707,1,1,0,0,0
1709,1,1,0,0,0
1712,0,0,0,0,0
1712,0,0,0,0,0
1715,1,1,0,0,0
1716,0,0,0,0,0
1716,0,0,0,0,1
1725,1,1,0,0,1
1731,0,0,0,0,1
1744,1,1,0,0,0
1758,1,1,0,0,1
1758,1,1,0,0,1
1765,1,1,0,0,0
1765,1,1,0,0,1
1768,0,0,0,0,1
1782,1,1,0,0,1
1788,1,1,0,0,1
1789,1,1,0,0,1
1790,1,1,0,0,1
1805,1,1,0,0,1
1807,1,1,0,0,1
1807,1,1,0,0,1
1817,1,1,0,0,1
1819,1,1,0,0,1
1829,1,0,0,0,1
1833,1,1,0,0,1
1833,1,1,0,0,1
1845,1,1,0,0,1
1855,0,0,0,0,0
1856,1,1,0,0,0
1856,1,1,0,0,1
1864,1,1,0,0,0
1865,1,1,0,0,0
1865,1,1,0,0,1
