ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"Kolejny wyznawca przybył. Amerykanie mówią, że są bezrobotni z powodu Hindusów... czy jesteś muzułmaninem, hinduistą czy chrześcijaninem. Ślepi wyznawcy widzą tylko religię i nic więcej.","Another devotee has arrived. Americans are saying that they are unemployed because of Indians... whether you are Muslim, Hindu, or Christian.Blind devotees can only see religion and nothing else.",Wk aur bhakt aa gya.  Abe americans ka bolna h ki Indians  k karan wo unemployed hain... Muslim ho hindu ho ya Christian ho. Andhbhakto ko dharm k alaw aur kuch dikhta hi nahi,1,No,-2.63031196594238,-0.0757350102066994,Yes,-1.61706912517548,-3.06032752990723,No,-6.91173839569092,-3.56955122947693
1,"Powiedzieli ci o potrójnym talaku, a teraz są zdenerwowani, więc dzisiaj martwią się o młodzież.","They told you about triple talaq, and now they're upset, so today they're worried about the youth.",Tujhe 3 talak ke bare me bola isey dikat h islye aj jawano ki chinta kr rha h,1,No,-3.4972038269043,-0.0314732007682323,Yes,-1.90262496471405,-3.35181617736816,No,-6.44276905059814,-1.67527675628662
2,"Ale jeśli psy w Indiach jedzą mięso ludzi o tak podłym nastawieniu, czy ich żołądki się nie rozstroją? Ich wychowanie jest tak złe. To prawda, wszyscy są seksistami. Dzięki Bogu, w Indiach ludzie każdej religii szanują kobiety.","But if dogs in India eat the flesh of people with such a filthy mentality, won't their stomachs get upset? Their upbringing is so bad.
It's true, they are all sexist.
Thank God, in India, people of any religion respect women.","Lekin fir itni gande mentality k logo ka flesh kha k india k kutto ko khi pet kharab na ho jaye 
Itni gandi parwarish h inki
Shi hi h sare sexist h 
Thank God india me chahe koi v majhab k log ho ladkiyo ki. But respect krte h",1,No,-2.29864692687988,-0.107015617191792,Yes,-2.02504444122314,-2.62029552459717,No,-5.14933967590332,-2.11868000030518
3,Indyjscy żołnierze są gotowi zabijać Pakistańczyków 😂😂😂😂.,Indian soldiers are ready to kill Pakistanis 😂😂😂😂.,Indian jawaan pakistan ko marne k liye teyaar leta he😂😂😂😂,1,No,-2.73564410209656,-0.068068377673626,Yes,-2.56715059280396,-4.13870573043823,No,-7.66309261322022,-3.57398343086243
4,"Czytanie wiadomości mnie zasmuciło... dzisiaj przez cały dzień ci ludzie pokazywali patriotyzm, ale jutro, gdy dowiedzą się, że zginęło wielu Pakistańczyków, będą płakać.","Reading the news made me sad... today the whole day these people were showing patriotism, but tomorrow when they find out many Pakistanis were killed, they'll cry.",NEWS padha kar dukh hua na.....aj pura din katua log desbhakti dekha raha tha par kl jb pata chale ga k bahut sare paki mare gaye tb y log royenge,1,No,-3.19835305213928,-0.0424768887460232,Yes,-2.1590313911438,-3.08644151687622,No,-6.9928936958313,-2.16410112380981
5,Tego można się spodziewać po tych brudnych ludziach.,This is what we can expect from these filthy people.,tum jese hraam k dino se yhi umeed rkh skte,1,No,-2.62521624565125,-0.0763443112373352,Yes,-2.36640787124634,-3.17431974411011,No,-6.66614103317261,-2.05249071121216
6,"Tariq, co zrobisz z moim prawdziwym ID? Znajdziesz mnie i zabijesz, czy moje słowa będą prawdziwe tylko wtedy, gdy ujawnię moje prawdziwe ID? 😁😂","Tariq, what will you do with my real ID? Will you find me and kill me, or will my words only be true if I reveal my real ID? 😁😂",tariq mere real id say kya hoga?  muje khoj kar marega ya fir mere real id hoge tab he baat sach hoge?😀😁😂,1,No,-3.75776481628418,-0.0249060969799757,Yes,-1.5007107257843,-3.31672978401184,No,-7.05735445022583,-2.5596079826355
7,Pakistańscy żołnierze oszaleli.,Pakistani soldiers have lost their minds. ,"Pak. Sainiko ka dimag satak gya hai.
Fauran jababi karwai hini chahiye...",1,No,-2.82715916633606,-0.0619500242173672,Yes,-1.94468021392822,-3.27022838592529,No,-5.3947024345398,-1.71082639694214
8,"Mam wrażenie, że to też chwyt reklamowy.",I feel this is also a publicity stunt.,NA JANEY KYU MUJHE YE BHI EK PUBLICITY STUNT LAGTA..,1,No,-2.68093752861023,-0.0720317885279656,Yes,-2.0839786529541,-3.68834686279297,No,-6.64026927947998,-2.29944515228272
9,"Jestem z Delhi, ale mieszkam w Vapi, więc gdzie będę liczony? :D","I'm from Delhi but live in Vapi, so where will I be counted? :D",Mein delhi ka hun par reheta vapi mein hun to mujhe kahan ka gina hoga. :D,1,No,-4.55848503112793,-0.0114515852183104,Yes,-2.03118181228638,-2.98782777786255,No,-6.65463542938232,-1.89781177043915
