ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"{USERNAME}: Nadstawmy policzek do bicia po chrześcijańsku i w nic się nie mieszajmy. Tak rzecze religia katolicka. Banda pajaców. Jak im wjadą na chałupy, to inaczej będą śpiewać jak za hitlera. Świętojebliwe kurwy. Jestem pewien, że by święcili ruskie czołgi jakby wygrali. Taka ich filozofia.","{USERNAME}: Let’s turn the other cheek like good Christians and not get involved in anything. That’s what the Catholic religion says. Bunch of clowns. When they get invaded, they’ll sing a different tune, like under Hitler. Holy fucking whores. I’m sure they’d bless Russian tanks if they won. That’s their philosophy.","{USERNAME}: ईसाई की तरह दूसरा गाल आगे करो और किसी चीज में दखल मत दो। यही कहता है कैथोलिक धर्म। पागलों का झुंड। जब उनके घरों में घुस आएंगे, तो हिटलर के समय की तरह अलग राग अलापेंगे। पवित्र भड़वे। मुझे यकीन है कि अगर रूसी जीत गए तो उनके टैंक को आशीर्वाद देंगे। यही उनकी सोच है।",1,No,-2.65872502326965,-0.0740807950496674,Yes,-1.44528245925903,-1.76870965957642,No,-3.67572021484375,-0.421712011098862
1,"{USERNAME}: Spierdalaj. LGBT, to nie cyrk żeby po całej Polsce jeździć, no chyba, że tak, to wtedy przepraszam.","{USERNAME}: Fuck off. LGBT isn’t a circus to parade around Poland, unless it is, then my apologies.","{USERNAME}: भाड़ में जाओ। LGBT कोई सर्कस नहीं है जो पूरे पोलैंड में घूमे, अगर है तो माफी मांगता हूँ।",1,No,-3.01190996170044,-0.0540776364505291,Yes,-2.26396751403809,-2.35855770111084,No,-4.33417654037476,-0.530698120594025
2,Zasrane mongolsko-ruzzkie ścierwo.,Fucking Mongol-Russian scum.,गंदा मंगोल-रूसी कचरा।,1,No,-1.5287401676178,-0.245863229036331,Yes,-2.07952308654785,-3.15205955505371,No,-6.08904552459717,-2.6872091293335
3,Jebać izrael,Fuck Israel.,इज़राइल को चोदो।,1,No,-1.14224672317505,-0.385673969984055,Yes,-2.44645977020264,-3.37362194061279,No,-4.74274826049805,-0.856776177883148
4,"Najlepiej jakby ich wszystkich z Polszy tam wysłać, nie dość że dzięki temu więcej pracy byłoby dla nas to na ulicach by się nie słuchało tego parszywego języka","It’d be best to send them all out of Poland. Not only would there be more jobs for us, but we wouldn’t have to listen to that filthy language on the streets.","सबसे अच्छा होगा अगर उन्हें पोलैंड से बाहर भेज दिया जाए। न सिर्फ हमारे लिए ज्यादा नौकरियाँ होंगी, बल्कि सड़कों पर वो गंदी भाषा भी नहीं सुननी पड़ेगी।",1,No,-1.80117845535278,-0.181810855865479,Yes,-2.0088837146759,-3.3153669834137,No,-5.23060655593872,-1.30520689487457
5,{USERNAME}:Poprostu gwalc femoidy bro!( ͡° ͜ʖ ͡°),"{USERNAME}: Just rape the femoids, bro! ( ͡° ͜ʖ ͡°)","{USERNAME}: बस औरतों का बलात्कार कर दो, भाई! ( ͡° ͜ʖ ͡°)",1,No,-3.5251476764679,-0.0317756906151772,No,-2.42010235786438,-1.78449368476868,No,-4.91484212875366,-0.6306072473526
6,"{USERNAME}: Oni tam mają kilka tys żołnierzy uzbrojonych w złom, ledwo kilkanaście czołgów, brak lotnictwa... XD Sami pewnie są chujowo wyszkoleni jak reszta kacapskiego ścierwa. Ukraina ich rozpierdoli jakąś malutką grupą taktyczną i nawet zbytnio by tego nie zauważyli. Dlatego wiele nie odciągną.","{USERNAME}: They’ve got a few thousand soldiers armed with scrap, barely a dozen tanks, no air force... XD They’re probably as poorly trained as the rest of the Russian scum. Ukraine will fuck them up with a tiny tactical group, and they wouldn’t even notice. That’s why they won’t achieve much.","{USERNAME}: उनके पास कुछ हज़ार सैनिक हैं, जो कबाड़ से लैस हैं, मुश्किल से दर्जन भर टैंक, कोई वायुसेना नहीं... XD शायद वो बाकी रूसी कचरे की तरह ही खराब प्रशिक्षित हैं। यूक्रेन उन्हें एक छोटे से रणनीतिक समूह से चोद देगा, और उन्हें पता भी नहीं चलेगा। इसलिए वो ज्यादा कुछ हासिल नहीं करेंगे।",1,No,-3.03777670860291,-0.0503384135663509,Yes,-1.17335677146912,-2.28738760948181,No,-4.1792426109314,-0.352481514215469
7,"{USERNAME}: poszłx się rzucić z mostu, nie wytrzymałx presji otoczenia z zaimkami XDDDD. Szkoda że tak późno.","{USERNAME}: They went and threw themselves off a bridge, couldn’t handle the pressure of pronouns XDDDD. Too bad it was so late.","{USERNAME}: वो पुल से कूद गयx, सर्वनामों के दबाव को सह न सकx XDDDD। अफसोस कि इतना देर से।",1,No,-4.68682765960693,-0.010693745687604,No,-2.5449423789978,-1.32188177108765,No,-5.30365180969238,-0.270629048347473
8,"A z tych 45% czarnuchów, co najmniej 70% kupiło dom za pieniądze pochodzące z przestępstwa.","Of those 45% niggers, at least 70% bought their house with money from crime.",उन 45% कालों में से कम से कम 70% ने अपराध से आए पैसे से घर खरीदा।,1,No,-3.53399181365967,-0.0305242501199245,No,-2.37192344665527,-1.89585983753204,No,-5.38501071929932,-0.154138490557671
9,{USERNAME}: julki do gazu,{USERNAME}: Julias to the gas.,{USERNAME}: जूलियाओं को गैस में।,1,No,-2.67266035079956,-0.0752769336104393,Yes,-1.25897634029388,-2.39039182662964,No,-4.99175691604614,-0.724558234214783
