ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"Kolejny wyznawca przybył. Amerykanie mówią, że są bezrobotni z powodu Hindusów... czy jesteś muzułmaninem, hinduistą czy chrześcijaninem. Ślepi wyznawcy widzą tylko religię i nic więcej.","Another devotee has arrived. Americans are saying that they are unemployed because of Indians... whether you are Muslim, Hindu, or Christian.Blind devotees can only see religion and nothing else.",Wk aur bhakt aa gya.  Abe americans ka bolna h ki Indians  k karan wo unemployed hain... Muslim ho hindu ho ya Christian ho. Andhbhakto ko dharm k alaw aur kuch dikhta hi nahi,1,No,-2.19818449020386,-0.118745356798172,Yes,-1.52322483062744,-3.00759315490723,No,-5.68089628219605,-2.74856686592102
1,"Powiedzieli ci o potrójnym talaku, a teraz są zdenerwowani, więc dzisiaj martwią się o młodzież.","They told you about triple talaq, and now they're upset, so today they're worried about the youth.",Tujhe 3 talak ke bare me bola isey dikat h islye aj jawano ki chinta kr rha h,1,No,-3.17012357711792,-0.0437236279249191,Yes,-1.80305433273315,-3.17611837387085,No,-5.84295082092285,-1.18508517742157
2,"Ale jeśli psy w Indiach jedzą mięso ludzi o tak podłym nastawieniu, czy ich żołądki się nie rozstroją? Ich wychowanie jest tak złe. To prawda, wszyscy są seksistami. Dzięki Bogu, w Indiach ludzie każdej religii szanują kobiety.","But if dogs in India eat the flesh of people with such a filthy mentality, won't their stomachs get upset? Their upbringing is so bad.
It's true, they are all sexist.
Thank God, in India, people of any religion respect women.","Lekin fir itni gande mentality k logo ka flesh kha k india k kutto ko khi pet kharab na ho jaye 
Itni gandi parwarish h inki
Shi hi h sare sexist h 
Thank God india me chahe koi v majhab k log ho ladkiyo ki. But respect krte h",1,No,-1.98741066455841,-0.148820072412491,Yes,-1.95504593849182,-2.675213098526,No,-4.05928564071655,-1.3274827003479
3,Indyjscy żołnierze są gotowi zabijać Pakistańczyków 😂😂😂😂.,Indian soldiers are ready to kill Pakistanis 😂😂😂😂.,Indian jawaan pakistan ko marne k liye teyaar leta he😂😂😂😂,1,No,-2.24558997154236,-0.11316455155611,Yes,-2.3215274810791,-4.34220123291016,No,-6.54161787033081,-2.76966047286987
4,"Czytanie wiadomości mnie zasmuciło... dzisiaj przez cały dzień ci ludzie pokazywali patriotyzm, ale jutro, gdy dowiedzą się, że zginęło wielu Pakistańczyków, będą płakać.","Reading the news made me sad... today the whole day these people were showing patriotism, but tomorrow when they find out many Pakistanis were killed, they'll cry.",NEWS padha kar dukh hua na.....aj pura din katua log desbhakti dekha raha tha par kl jb pata chale ga k bahut sare paki mare gaye tb y log royenge,1,No,-2.84446978569031,-0.0607687830924988,Yes,-2.08775424957275,-2.93215274810791,No,-5.87630558013916,-1.34397494792938
5,Tego można się spodziewać po tych brudnych ludziach.,This is what we can expect from these filthy people.,tum jese hraam k dino se yhi umeed rkh skte,1,No,-2.048823595047,-0.139487490057945,Yes,-2.38785028457642,-3.31718492507935,No,-5.79590368270874,-1.36233270168304
6,"Tariq, co zrobisz z moim prawdziwym ID? Znajdziesz mnie i zabijesz, czy moje słowa będą prawdziwe tylko wtedy, gdy ujawnię moje prawdziwe ID? 😁😂","Tariq, what will you do with my real ID? Will you find me and kill me, or will my words only be true if I reveal my real ID? 😁😂",tariq mere real id say kya hoga?  muje khoj kar marega ya fir mere real id hoge tab he baat sach hoge?😀😁😂,1,No,-3.29382848739624,-0.039348017424345,Yes,-1.4568589925766,-3.24267911911011,No,-6.09451389312744,-1.89669394493103
7,Pakistańscy żołnierze oszaleli.,Pakistani soldiers have lost their minds. ,"Pak. Sainiko ka dimag satak gya hai.
Fauran jababi karwai hini chahiye...",1,No,-2.42953062057495,-0.0933661758899689,Yes,-1.84170961380005,-3.1762900352478,No,-4.57525205612183,-1.37446546554565
8,"Mam wrażenie, że to też chwyt reklamowy.",I feel this is also a publicity stunt.,NA JANEY KYU MUJHE YE BHI EK PUBLICITY STUNT LAGTA..,1,No,-2.37262654304504,-0.0991241186857224,Yes,-2.16096472740173,-3.71176886558533,No,-5.65592336654663,-1.49189341068268
9,"Jestem z Delhi, ale mieszkam w Vapi, więc gdzie będę liczony? :D","I'm from Delhi but live in Vapi, so where will I be counted? :D",Mein delhi ka hun par reheta vapi mein hun to mujhe kahan ka gina hoga. :D,1,No,-4.36650371551514,-0.0140483779832721,Yes,-1.92610538005829,-2.90971565246582,No,-5.7722053527832,-1.16742300987244
