ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"{USERNAME}: Nadstawmy policzek do bicia po chrześcijańsku i w nic się nie mieszajmy. Tak rzecze religia katolicka. Banda pajaców. Jak im wjadą na chałupy, to inaczej będą śpiewać jak za hitlera. Świętojebliwe kurwy. Jestem pewien, że by święcili ruskie czołgi jakby wygrali. Taka ich filozofia.","{USERNAME}: Let’s turn the other cheek like good Christians and not get involved in anything. That’s what the Catholic religion says. Bunch of clowns. When they get invaded, they’ll sing a different tune, like under Hitler. Holy fucking whores. I’m sure they’d bless Russian tanks if they won. That’s their philosophy.","{USERNAME}: ईसाई की तरह दूसरा गाल आगे करो और किसी चीज में दखल मत दो। यही कहता है कैथोलिक धर्म। पागलों का झुंड। जब उनके घरों में घुस आएंगे, तो हिटलर के समय की तरह अलग राग अलापेंगे। पवित्र भड़वे। मुझे यकीन है कि अगर रूसी जीत गए तो उनके टैंक को आशीर्वाद देंगे। यही उनकी सोच है।",1,No,-2.36826586723328,-0.100065946578979,Yes,-1.36154460906982,-1.80793952941895,No,-3.25449013710022,-0.414237201213837
1,"{USERNAME}: Spierdalaj. LGBT, to nie cyrk żeby po całej Polsce jeździć, no chyba, że tak, to wtedy przepraszam.","{USERNAME}: Fuck off. LGBT isn’t a circus to parade around Poland, unless it is, then my apologies.","{USERNAME}: भाड़ में जाओ। LGBT कोई सर्कस नहीं है जो पूरे पोलैंड में घूमे, अगर है तो माफी मांगता हूँ।",1,No,-2.78116130828857,-0.0678148791193962,Yes,-2.19117307662964,-2.19170045852661,No,-3.99378824234009,-0.428574949502945
2,Zasrane mongolsko-ruzzkie ścierwo.,Fucking Mongol-Russian scum.,गंदा मंगोल-रूसी कचरा।,1,No,-1.37538433074951,-0.293106973171234,Yes,-1.96339273452759,-3.16906690597534,No,-4.91321706771851,-1.8485255241394
3,Jebać izrael,Fuck Israel.,इज़राइल को चोदो।,1,No,-1.01110577583313,-0.45381098985672,Yes,-2.27947878837585,-3.30338072776794,No,-4.18356847763062,-0.775015473365784
4,"Najlepiej jakby ich wszystkich z Polszy tam wysłać, nie dość że dzięki temu więcej pracy byłoby dla nas to na ulicach by się nie słuchało tego parszywego języka","It’d be best to send them all out of Poland. Not only would there be more jobs for us, but we wouldn’t have to listen to that filthy language on the streets.","सबसे अच्छा होगा अगर उन्हें पोलैंड से बाहर भेज दिया जाए। न सिर्फ हमारे लिए ज्यादा नौकरियाँ होंगी, बल्कि सड़कों पर वो गंदी भाषा भी नहीं सुननी पड़ेगी।",1,No,-1.63228869438171,-0.219065442681313,Yes,-1.92815148830414,-3.10409784317017,No,-4.30429792404175,-0.826146423816681
5,{USERNAME}:Poprostu gwalc femoidy bro!( ͡° ͜ʖ ͡°),"{USERNAME}: Just rape the femoids, bro! ( ͡° ͜ʖ ͡°)","{USERNAME}: बस औरतों का बलात्कार कर दो, भाई! ( ͡° ͜ʖ ͡°)",1,No,-3.10179162025452,-0.0483344085514545,No,-2.33086228370667,-1.74012207984924,No,-4.37785720825195,-0.557214677333832
6,"{USERNAME}: Oni tam mają kilka tys żołnierzy uzbrojonych w złom, ledwo kilkanaście czołgów, brak lotnictwa... XD Sami pewnie są chujowo wyszkoleni jak reszta kacapskiego ścierwa. Ukraina ich rozpierdoli jakąś malutką grupą taktyczną i nawet zbytnio by tego nie zauważyli. Dlatego wiele nie odciągną.","{USERNAME}: They’ve got a few thousand soldiers armed with scrap, barely a dozen tanks, no air force... XD They’re probably as poorly trained as the rest of the Russian scum. Ukraine will fuck them up with a tiny tactical group, and they wouldn’t even notice. That’s why they won’t achieve much.","{USERNAME}: उनके पास कुछ हज़ार सैनिक हैं, जो कबाड़ से लैस हैं, मुश्किल से दर्जन भर टैंक, कोई वायुसेना नहीं... XD शायद वो बाकी रूसी कचरे की तरह ही खराब प्रशिक्षित हैं। यूक्रेन उन्हें एक छोटे से रणनीतिक समूह से चोद देगा, और उन्हें पता भी नहीं चलेगा। इसलिए वो ज्यादा कुछ हासिल नहीं करेंगे।",1,No,-2.59713649749756,-0.0788259580731392,Yes,-1.01923012733459,-2.38101410865784,No,-3.60002946853638,-0.328993320465088
7,"{USERNAME}: poszłx się rzucić z mostu, nie wytrzymałx presji otoczenia z zaimkami XDDDD. Szkoda że tak późno.","{USERNAME}: They went and threw themselves off a bridge, couldn’t handle the pressure of pronouns XDDDD. Too bad it was so late.","{USERNAME}: वो पुल से कूद गयx, सर्वनामों के दबाव को सह न सकx XDDDD। अफसोस कि इतना देर से।",1,No,-4.31625890731812,-0.015239117667079,No,-2.46623182296753,-1.31444108486176,No,-5.02357816696167,-0.249180167913437
8,"A z tych 45% czarnuchów, co najmniej 70% kupiło dom za pieniądze pochodzące z przestępstwa.","Of those 45% niggers, at least 70% bought their house with money from crime.",उन 45% कालों में से कम से कम 70% ने अपराध से आए पैसे से घर खरीदा।,1,No,-3.10087752342224,-0.0469967387616634,No,-2.34375476837158,-1.8885782957077,No,-4.78899335861206,-0.228765934705734
9,{USERNAME}: julki do gazu,{USERNAME}: Julias to the gas.,{USERNAME}: जूलियाओं को गैस में।,1,No,-2.43329501152039,-0.0969741716980934,Yes,-1.20981311798096,-2.22865867614746,No,-4.6394534111023,-0.619876563549042
10,Śmiecia zutylizować. Tęczowe lewactwo również (⌐ ͡■ ͜ʖ ͡■),Dispose of the trash. Rainbow leftism too (⌐ ͡■ ͜ʖ ͡■),कचरे को नष्ट करो। इंद्रधनुषी वामपंथ को भी (⌐ ͡■ ͜ʖ ͡■),1,No,-3.16532778739929,-0.0443713292479515,Yes,-2.22240376472473,-3.19518876075745,No,-4.52422046661377,-0.237877830862999
11,"Anglicy to bydło i przyjeżdzajac do nas robia grubą trzode. Jednak prawie zawsze znajda sie jacys polacy lizacy im dupe do porzygu. Nie wiem czy to chec popisania sie angielskim czy liczenie na to, ze zaczna im stawiac kolejki. Jakos nie zauwazylem, zeby w podobny sposob anglicy kleili sie do polakow (w Anglii)","The English are cattle, and when they come here, they act like total pigs. Yet there are always some Poles kissing their asses to death. I don’t know if it’s to show off their English or hoping they’ll buy them drinks. I haven’t noticed the English sucking up to Poles like that in England.","अंग्रेज पशु हैं, और जब वे यहाँ आते हैं, तो पूरी तरह सुअर जैसे व्यवहार करते हैं। फिर भी हमेशा कुछ पोलिश लोग उनकी चाटुकारिता करते हैं। पता नहीं ये अपनी अंग्रेजी दिखाने की चाहत है या ये उम्मीद कि वे उन्हें ड्रिंक पिलाएंगे। मैंने नहीं देखा कि अंग्रेज इंग्लैंड में पोलिश लोगों से इस तरह चिपकते हों।",1,No,-2.18122482299805,-0.120914444327354,Yes,-1.81097900867462,-3.68424606323242,No,-2.92761564254761,-0.752523839473724
12,{USERNAME} typowy czarnuch jest typowy.,{USERNAME} A typical nigger is typical.,{USERNAME} एक आम काला वही आम काला है।,1,No,-2.47298836708069,-0.0909234434366226,No,-2.56971836090088,-2.02946376800537,No,-4.74669122695923,-1.53019964694977
13,{USERNAME}: To prawda. Wuefiści to też zazwyczaj najbardziej lubiani nauczyciele. No a wuefistki to mają zazwyczaj dobre mięśnie kegla-wsadzisz uja to ściśnie jak dziadek do orzechów a nie takie rozklekotane torby jak u większości p0lek.,"{USERNAME}: It’s true. PE teachers are usually the most liked. And female PE teachers usually have strong Kegel muscles—stick your dick in, and it squeezes like a nutcracker, not like the loose bags most Polish women have.","{USERNAME}: सच है। पीई शिक्षक आमतौर पर सबसे ज्यादा पसंद किए जाते हैं। और महिला पीई शिक्षिकाओं के पास आमतौर पर मजबूत केगल मांसपेशियां होती हैं—लंड डालो तो वो अखरोट तोड़ने की मशीन की तरह जकड़ लेता है, न कि पोलिश औरतों की तरह ढीली थैलियां।",1,No,-3.95552754402161,-0.0205584838986397,Yes,-1.82179522514343,-2.54641032218933,No,-4.52657794952393,-0.14039021730423
14,pierdolone pedalstwo,pFucking gay shit.,गंदा समलैंगिक कचरा।,1,No,-1.91090881824493,-0.16139329969883,Yes,-2.07044649124146,-2.54653406143188,No,-4.26811265945435,-1.33254683017731
