prompt,ground_truth,prediction,language,logit_yes,logit_no
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Masha Allah.""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Nie,polish,-2.7835023403167725,-0.06475234776735306
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""Their real face is this, they fool the public, if they meet a Muslim, they call them Pakistani, traitor, terrorist.""
Answer with ""Yes"" or ""No"":",Yes,Yes,english,-0.019395343959331512,-3.956895351409912
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Ilu jeszcze żołnierzy zginie, jeśli tutaj nic nie możemy zrobić, to co zrobimy na zewnątrz, mamy piątą największą armię na świecie.""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Tak,polish,-0.0996432676911354,-2.3652682304382324
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Naprawdę to poczułem.""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Nie,polish,-0.9275528192520142,-0.5056778192520142
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Siedź cicho, Babaji... tacy jak ty napompowali ich ego.""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Tak,polish,-0.19723409414291382,-1.7284841537475586
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""Tum bhi.masjid maim bhajan karwao.agar mohbat tumhe bhi hai""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.34196770191192627,-1.2482177019119263
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""He's crazy, took a man's life to promote his movie.""
Answer with ""Yes"" or ""No"":",Yes,Yes,english,-0.06907516717910767,-2.709700107574463
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""Fuji daily marr rahy hy aur hamare country ka Hitler Mann ki bakwas kr KY khud ko bohat smart samaz raha hy...""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.17985659837722778,-1.820481538772583
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Wy dranie, idioci, ja jestem tu dla tej wiedźmy, zostawcie swoje żony babom do krycia. Wasze wiotkie fiuty nie mają siły, niech baby je rżną, robią krycie, a wy walcie konia.""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Tak,polish,-0.09044069051742554,-2.4654407501220703
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Aby zbudować silny naród, system edukacji musi być naprawiony, jeśli korzenie są słabe, jak drzewo będzie stać?""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Tak,polish,-0.20556634664535522,-1.68994140625
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""Tu 60 saal deshdrohiyo ko de skta hai aur ek baar satta kya badal gayi bari jali hui hai tumri""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.1366634964942932,-2.0741634368896484
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""Stop discrimination.""
Answer with ""Yes"" or ""No"":",No,No,english,-2.224212646484375,-0.11483757197856903
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Praca na pół etatu: Potrzebuję 50-100 chłopców i dziewcząt, którzy mogą stworzyć ze mną zespół i pracować z domu. Praca polega tylko na zamieszczaniu reklam na Facebooku i WhatsApp. Online. Możesz zarobić dobre pieniądze w niepełnym wymiarze godzin bez inwestowania ani grosza. Nasza firma nazywa się Champcash, jest to firma zarejestrowana przez rząd. Ponad 1 crore ludzi dołączyło do tej firmy Digital India. Dołącz i wspieraj misję „Sabka Saath, Sabka Vikas”, zarabiaj tysiące z domu. Aby dołączyć: 1) Wejdź do sklepu Play na swoim telefonie. 2) Pobierz darmową aplikację Champcash. 3) Zarejestruj się w Champcash i wypełnij szczegóły. 4) Wpisz ID sponsora: 12190419. 5) Wykonaj niektóre wyzwania, takie jak słuchanie audio/instalowanie aplikacji/rejestracja... Wyzwanie trzeba wykonać tylko raz w życiu. Następnie możesz stworzyć swój zespół i zarabiać. 1 poziom: 10-50 zł za członka. 2 poziom: 10 zł za członka. 3 poziom: 10 zł za członka. 4 poziom: 10 zł za członka. 5 poziom: 10 zł za członka. 6 poziom: 10 zł za członka. 7 poziom: 10 zł za członka. Jeśli jesteś zainteresowany, napisz do mnie na WhatsApp na numer 9840315232. Uwaga: Kontaktuj się tylko, jeśli chcesz osiągnąć coś dzięki ciężkiej pracy. Ci, którzy chcą coś osiągnąć bez wysiłku, proszę, nie kontaktujcie się ze mną. WhatsApp 9840315232.""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Nie,polish,-25.786636352539062,-25.110855102539062
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Naksaliści i partie polityczne ciągle miażdżą siły policyjne... Jaka jest ich wina, oni tylko wypełniają swoje obowiązki!""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Tak,polish,-0.26799410581588745,-1.4554941654205322
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""God, now you’ll have to do something.""
Answer with ""Yes"" or ""No"":",No,No,english,-1.2349629402160645,-0.34433797001838684
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""ab humari bari ka intjar kar tere ammi bajji khalla api fufi sub chude ge kush hi ganto m""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.06135531887412071,-2.8426053524017334
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""Mere land ke maal madhrchod  shukma me konse santidut the""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.3991592824459076,-1.11790931224823
