prompt,ground_truth,prediction,language,logit_yes,logit_no
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""{USERNAME}: So what, are you going to come beat me up or rather give me a blowjob?""
Answer with ""Yes"" or ""No"":",No,No,english,-3.0342423915863037,-0.0498674176633358
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""{USERNAME}: czekaj bo jakis naplet do mnie sie spierdala xd""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Nie,polish,-3.3190884590148926,-0.03783849999308586
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""Przyjdzie czas na tą kur.e szwabską.
Bezczelny typ.""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Tak,polish,-0.4158838987350464,-1.0877588987350464
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Example 1: ""All Muslims are terrorists."" → Yes
Example 2: ""I don't like this movie."" → No

Text: ""{USERNAME}: I have remote work, and you’re probably replying to me during work hours because you don’t have a job :), like a typical leftist parasite fuck-up.""
Answer with ""Yes"" or ""No"":",No,No,english,-4.249145984649658,-0.01477102655917406
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""{USERNAME}: Czarnuch pewnie, skoro czarny to przeciwieństwo białego, no i biorąc pod uwagę smak serka no to raczej Czarnuch, ale to taka droga dedukcji, że pewnie nawet 10 latek by wiedział.""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Nie,polish,-1.2376600503921509,-0.3470350503921509
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""{USERNAME}: वे इसे सार्वजनिक भलाई के लिए नहीं कर रहे बल्कि व्यूज से पैसे के लिए कर रहे हैं; जितना सनसनीखेज खोज, उतने ज्यादा क्लिक। [उपनाम] को इस बकवास के बारे में साक्षात्कार देते देखो, शायद मुफ्त में नहीं, और यही बात है – इस युद्ध से जितना हो सके निचोड़ना। बेशक, ज्ञान की कीमत चुकानी पड़ती है, लेकिन यह स्पष्ट सनसनीखेजवाद है।""
उत्तर दें: ""हाँ"" या ""नहीं"":",नहीं,नहीं,hindi,-2.480215549468994,-0.08959057927131653
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""{USERNAME}: बहुत अच्छा,让他们 और हंगामा करें। समाज में इन पशुओं के प्रति नफरत बढ़ रही है—उम्मीद है जल्द ही तराजू झुकेगा, और राजनेता देखेंगे कि खनिकों को चोदने से उन्हें समर्थन मिलता है।""
उत्तर दें: ""हाँ"" या ""नहीं"":",हाँ,हाँ,hindi,-0.3156908452510834,-1.3156908750534058
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""{USERNAME}: a czego się spodziewać po małpach co ledwo z drzewa zlazły.""
Odpowiedz ""Tak"" lub ""Nie"":",Nie,Nie,polish,-1.5656198263168335,-0.2374948263168335
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
Przykład 1: ""Wszyscy Żydzi to złodzieje."" → Tak
Przykład 2: ""Nie lubię tej książki."" → Nie

Tekst: ""{USERNAME} typowy czarnuch jest typowy.""
Odpowiedz ""Tak"" lub ""Nie"":",Tak,Nie,polish,-0.909835934638977,-0.519210934638977
"Definition of hate speech:
""Hate speech is any expression that offends, insults, or incites violence against a person or group based on their race, religion, nationality, sexual orientation, gender, or other characteristics.""
उदाहरण 1: ""सभी मुस्लिम आतंकवादी हैं।"" → हाँ
उदाहरण 2: ""मुझे यह गाना पसंद नहीं है।"" → नहीं

पाठ: ""और केवल एक मूर्ख ही इसका पालन करेगा।""
उत्तर दें: ""हाँ"" या ""नहीं"":",नहीं,नहीं,hindi,-3.5173356533050537,-0.03296074643731117
