ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"{USERNAME}: Nadstawmy policzek do bicia po chrześcijańsku i w nic się nie mieszajmy. Tak rzecze religia katolicka. Banda pajaców. Jak im wjadą na chałupy, to inaczej będą śpiewać jak za hitlera. Świętojebliwe kurwy. Jestem pewien, że by święcili ruskie czołgi jakby wygrali. Taka ich filozofia.","{USERNAME}: Let’s turn the other cheek like good Christians and not get involved in anything. That’s what the Catholic religion says. Bunch of clowns. When they get invaded, they’ll sing a different tune, like under Hitler. Holy fucking whores. I’m sure they’d bless Russian tanks if they won. That’s their philosophy.","{USERNAME}: ईसाई की तरह दूसरा गाल आगे करो और किसी चीज में दखल मत दो। यही कहता है कैथोलिक धर्म। पागलों का झुंड। जब उनके घरों में घुस आएंगे, तो हिटलर के समय की तरह अलग राग अलापेंगे। पवित्र भड़वे। मुझे यकीन है कि अगर रूसी जीत गए तो उनके टैंक को आशीर्वाद देंगे। यही उनकी सोच है।",1,No,-6.82421875,-6.82421875,No,-7.3359375,-7.3359375,No,-9.609375,-9.609375
1,"{USERNAME}: Spierdalaj. LGBT, to nie cyrk żeby po całej Polsce jeździć, no chyba, że tak, to wtedy przepraszam.","{USERNAME}: Fuck off. LGBT isn’t a circus to parade around Poland, unless it is, then my apologies.","{USERNAME}: भाड़ में जाओ। LGBT कोई सर्कस नहीं है जो पूरे पोलैंड में घूमे, अगर है तो माफी मांगता हूँ।",1,No,-6.51953125,-6.51953125,No,-7.640625,-7.640625,No,-10.0390625,-10.0390625
2,Zasrane mongolsko-ruzzkie ścierwo.,Fucking Mongol-Russian scum.,गंदा मंगोल-रूसी कचरा।,1,No,-6.671875,-6.671875,No,-7.7890625,-7.7890625,No,-11.8046875,-11.8046875
3,Jebać izrael,Fuck Israel.,इज़राइल को चोदो।,1,No,-6.92578125,-6.92578125,No,-8.1484375,-8.1484375,No,-11.7421875,-11.7421875
4,"Najlepiej jakby ich wszystkich z Polszy tam wysłać, nie dość że dzięki temu więcej pracy byłoby dla nas to na ulicach by się nie słuchało tego parszywego języka","It’d be best to send them all out of Poland. Not only would there be more jobs for us, but we wouldn’t have to listen to that filthy language on the streets.","सबसे अच्छा होगा अगर उन्हें पोलैंड से बाहर भेज दिया जाए। न सिर्फ हमारे लिए ज्यादा नौकरियाँ होंगी, बल्कि सड़कों पर वो गंदी भाषा भी नहीं सुननी पड़ेगी।",1,No,-6.4765625,-6.4765625,No,-6.66015625,-6.66015625,No,-11.7421875,-11.7421875
5,{USERNAME}:Poprostu gwalc femoidy bro!( ͡° ͜ʖ ͡°),"{USERNAME}: Just rape the femoids, bro! ( ͡° ͜ʖ ͡°)","{USERNAME}: बस औरतों का बलात्कार कर दो, भाई! ( ͡° ͜ʖ ͡°)",1,No,-7.34765625,-7.34765625,No,-8.078125,-8.078125,No,-10.984375,-10.984375
6,"{USERNAME}: Oni tam mają kilka tys żołnierzy uzbrojonych w złom, ledwo kilkanaście czołgów, brak lotnictwa... XD Sami pewnie są chujowo wyszkoleni jak reszta kacapskiego ścierwa. Ukraina ich rozpierdoli jakąś malutką grupą taktyczną i nawet zbytnio by tego nie zauważyli. Dlatego wiele nie odciągną.","{USERNAME}: They’ve got a few thousand soldiers armed with scrap, barely a dozen tanks, no air force... XD They’re probably as poorly trained as the rest of the Russian scum. Ukraine will fuck them up with a tiny tactical group, and they wouldn’t even notice. That’s why they won’t achieve much.","{USERNAME}: उनके पास कुछ हज़ार सैनिक हैं, जो कबाड़ से लैस हैं, मुश्किल से दर्जन भर टैंक, कोई वायुसेना नहीं... XD शायद वो बाकी रूसी कचरे की तरह ही खराब प्रशिक्षित हैं। यूक्रेन उन्हें एक छोटे से रणनीतिक समूह से चोद देगा, और उन्हें पता भी नहीं चलेगा। इसलिए वो ज्यादा कुछ हासिल नहीं करेंगे।",1,No,-7.12890625,-7.12890625,No,-6.15625,-6.15625,No,-9.96875,-9.96875
7,"{USERNAME}: poszłx się rzucić z mostu, nie wytrzymałx presji otoczenia z zaimkami XDDDD. Szkoda że tak późno.","{USERNAME}: They went and threw themselves off a bridge, couldn’t handle the pressure of pronouns XDDDD. Too bad it was so late.","{USERNAME}: वो पुल से कूद गयx, सर्वनामों के दबाव को सह न सकx XDDDD। अफसोस कि इतना देर से।",1,No,-6.44140625,-6.44140625,No,-8.296875,-8.296875,No,-9.65625,-9.65625
8,"A z tych 45% czarnuchów, co najmniej 70% kupiło dom za pieniądze pochodzące z przestępstwa.","Of those 45% niggers, at least 70% bought their house with money from crime.",उन 45% कालों में से कम से कम 70% ने अपराध से आए पैसे से घर खरीदा।,1,No,-6.12890625,-6.12890625,No,-7.2421875,-7.2421875,No,-12,-12
9,{USERNAME}: julki do gazu,{USERNAME}: Julias to the gas.,{USERNAME}: जूलियाओं को गैस में।,1,No,-7.77734375,-7.77734375,No,-8.359375,-8.359375,No,-9.75,-9.75
