ID,polish,english,hindi,label,pred_english,conf_english_yes,conf_english_no,pred_polish,conf_polish_yes,conf_polish_no,pred_hindi,conf_hindi_yes,conf_hindi_no
0,"Kolejny wyznawca przybył. Amerykanie mówią, że są bezrobotni z powodu Hindusów... czy jesteś muzułmaninem, hinduistą czy chrześcijaninem. Ślepi wyznawcy widzą tylko religię i nic więcej.","Another devotee has arrived. Americans are saying that they are unemployed because of Indians... whether you are Muslim, Hindu, or Christian.Blind devotees can only see religion and nothing else.",Wk aur bhakt aa gya.  Abe americans ka bolna h ki Indians  k karan wo unemployed hain... Muslim ho hindu ho ya Christian ho. Andhbhakto ko dharm k alaw aur kuch dikhta hi nahi,1,No,-3.98018836975098,-3.98018836975098,No,-3.54915738105774,-3.54915738105774,No,-7.02030277252197,-7.02030277252197
1,"Powiedzieli ci o potrójnym talaku, a teraz są zdenerwowani, więc dzisiaj martwią się o młodzież.","They told you about triple talaq, and now they're upset, so today they're worried about the youth.",Tujhe 3 talak ke bare me bola isey dikat h islye aj jawano ki chinta kr rha h,1,No,-4.09813451766968,-4.09813451766968,No,-3.56575560569763,-3.56575560569763,No,-7.55529689788818,-7.55529689788818
2,"Ale jeśli psy w Indiach jedzą mięso ludzi o tak podłym nastawieniu, czy ich żołądki się nie rozstroją? Ich wychowanie jest tak złe. To prawda, wszyscy są seksistami. Dzięki Bogu, w Indiach ludzie każdej religii szanują kobiety.","But if dogs in India eat the flesh of people with such a filthy mentality, won't their stomachs get upset? Their upbringing is so bad.
It's true, they are all sexist.
Thank God, in India, people of any religion respect women.","Lekin fir itni gande mentality k logo ka flesh kha k india k kutto ko khi pet kharab na ho jaye 
Itni gandi parwarish h inki
Shi hi h sare sexist h 
Thank God india me chahe koi v majhab k log ho ladkiyo ki. But respect krte h",1,No,-3.95162868499756,-3.95162868499756,No,-3.37627649307251,-3.37627649307251,No,-7.71550273895264,-7.71550273895264
3,Indyjscy żołnierze są gotowi zabijać Pakistańczyków 😂😂😂😂.,Indian soldiers are ready to kill Pakistanis 😂😂😂😂.,Indian jawaan pakistan ko marne k liye teyaar leta he😂😂😂😂,1,No,-4.01751232147217,-4.01751232147217,No,-3.85136127471924,-3.85136127471924,No,-7.53112173080444,-7.53112173080444
4,"Czytanie wiadomości mnie zasmuciło... dzisiaj przez cały dzień ci ludzie pokazywali patriotyzm, ale jutro, gdy dowiedzą się, że zginęło wielu Pakistańczyków, będą płakać.","Reading the news made me sad... today the whole day these people were showing patriotism, but tomorrow when they find out many Pakistanis were killed, they'll cry.",NEWS padha kar dukh hua na.....aj pura din katua log desbhakti dekha raha tha par kl jb pata chale ga k bahut sare paki mare gaye tb y log royenge,1,No,-4.09191560745239,-4.09191560745239,No,-3.4073657989502,-3.4073657989502,No,-7.63189029693604,-7.63189029693604
5,Tego można się spodziewać po tych brudnych ludziach.,This is what we can expect from these filthy people.,tum jese hraam k dino se yhi umeed rkh skte,1,No,-3.98674201965332,-3.98674201965332,No,-3.61769318580627,-3.61769318580627,No,-7.53856611251831,-7.53856611251831
6,"Tariq, co zrobisz z moim prawdziwym ID? Znajdziesz mnie i zabijesz, czy moje słowa będą prawdziwe tylko wtedy, gdy ujawnię moje prawdziwe ID? 😁😂","Tariq, what will you do with my real ID? Will you find me and kill me, or will my words only be true if I reveal my real ID? 😁😂",tariq mere real id say kya hoga?  muje khoj kar marega ya fir mere real id hoge tab he baat sach hoge?😀😁😂,1,No,-3.7009539604187,-3.7009539604187,No,-3.39277982711792,-3.39277982711792,No,-7.02829313278198,-7.02829313278198
7,Pakistańscy żołnierze oszaleli.,Pakistani soldiers have lost their minds. ,"Pak. Sainiko ka dimag satak gya hai.
Fauran jababi karwai hini chahiye...",1,No,-3.82390737533569,-3.82390737533569,No,-3.7489972114563,-3.7489972114563,No,-7.0067343711853,-7.0067343711853
8,"Mam wrażenie, że to też chwyt reklamowy.",I feel this is also a publicity stunt.,NA JANEY KYU MUJHE YE BHI EK PUBLICITY STUNT LAGTA..,1,No,-3.78749513626099,-3.78749513626099,No,-3.56227326393127,-3.56227326393127,No,-7.29239463806152,-7.29239463806152
9,"Jestem z Delhi, ale mieszkam w Vapi, więc gdzie będę liczony? :D","I'm from Delhi but live in Vapi, so where will I be counted? :D",Mein delhi ka hun par reheta vapi mein hun to mujhe kahan ka gina hoga. :D,1,No,-3.91608953475952,-3.91608953475952,No,-3.4085636138916,-3.4085636138916,No,-7.69435453414917,-7.69435453414917
10,"60 lat złodziei, rabusiów, dających ludziom właściwą odpowiedź...","60 years of looters, thieves, giving the right response to people...","60 year lootera ,chor ,lognko ko sahi  jabab ...",1,No,-3.63591051101685,-3.63591051101685,No,-3.34371638298035,-3.34371638298035,No,-6.89693546295166,-6.89693546295166
11,"Spójrz na programy od narodzin dziecka po ślub dziewczyny, panie.","Look at the schemes from a child's birth to a girl's marriage, sir.",Bache k janam se Ladki ki shaadi tak ki yojnay toh Dekho sir ji,1,No,-3.99747490882874,-3.99747490882874,No,-3.36528778076172,-3.36528778076172,No,-7.11608457565308,-7.11608457565308
12,"Nosząc bransoletki, ludzie tacy jak ty mogą publikować na FB, mój brat i jego towarzysze żołnierze tacy nie są.","Wearing bangles, people like you can post on FB, my brother and his fellow soldiers are not like that.",chudiya  phen ke  aap jese log fb  post kar sakte hen  mere bhai or unke sathi jawan nehi,1,No,-4.11944675445557,-4.11944675445557,No,-3.80658602714539,-3.80658602714539,No,-6.97414112091064,-6.97414112091064
13,"Ten, kto nie może być lojalny wobec swojego szwagra, jak może być lojalny wobec Indii? Tak dobrze zakopali całą sprawę, nie pytaj nawet.","The one who can't be loyal to his brother-in-law, how can he be loyal to India? They buried the whole issue so well, don't even ask.",jo apne jeeja ka na ho vo sala bhartiye kaise hosakta hai_ poore mamle per aisa mitti daldi k poochho nahin,1,No,-4.0822811126709,-4.0822811126709,No,-3.43139171600342,-3.43139171600342,No,-7.13975286483765,-7.13975286483765
14,"Nienawidzę Pakistanu, a ci, którzy kochają Pakistan, też są zdrajcami.","I hate Pakistan, and those who love Pakistan are also traitors.",I hate pakistan or jo pakistan se pyar karte h wo bhi gaddar h,1,No,-4.01428508758545,-4.01428508758545,No,-3.56515026092529,-3.56515026092529,No,-7.61898183822632,-7.61898183822632
15,"Jak długo będziemy tolerować Pakistan? Proszę, premierze, podejmij jakieś poważne działania przeciwko Pakistańczykom.","How long will we tolerate Pakistan? Please, PM, take some big action against Pakistanis.",Pakistan ko kab tak bardasht kiya jayega plzzz pm je kuch bada kadam uthao Pakistani ke sath,1,No,-3.91819739341736,-3.91819739341736,No,-3.51328372955322,-3.51328372955322,No,-7.41935920715332,-7.41935920715332
16,"👍😃😄 Absolutnie racja, Gurnam... ci ludzie bez powodu wprowadzają innych w błąd, szerzą plotki... nie wiem, dlaczego ich to bawi...","👍😃😄 Absolutely right, Gurnam... these people mislead others for no reason, spread rumors... don't know why they enjoy it...",👍😃😄ekdam thik kaha gurnam ... yeh log khamokha logon ko gumrah korte hai ..afvaiy failate hai ... pata nahi inko kyo maza ata hai ...,1,No,-3.46963930130005,-3.46963930130005,No,-3.25341129302979,-3.25341129302979,No,-7.1306414604187,-7.1306414604187
17,"Ten klip wideo pochodzi z Turkiestanu... czy to wszystko fałszywe wiadomości, człowieku?","That video clip is from Turkistan... is all this fake news, man?",A video clip turkistan ki hai...keya sab fake news hai yar,1,No,-4.00771808624268,-4.00771808624268,No,-3.41938710212708,-3.41938710212708,No,-7.76572704315186,-7.76572704315186
18,"Ja też to mam, wymieńmy się.","I have it too, let's exchange it.",Mere pass bhi h krwado exchnge,1,No,-4.05488634109497,-4.05488634109497,No,-3.18021130561829,-3.18021130561829,No,-7.40908098220825,-7.40908098220825
