ID,english,label,pred_english,conf_english
0,"{USERNAME}: Let’s turn the other cheek like good Christians and not get involved in anything. That’s what the Catholic religion says. Bunch of clowns. When they get invaded, they’ll sing a different tune, like under Hitler. Holy fucking whores. I’m sure they’d bless Russian tanks if they won. That’s their philosophy.",1,1,"0.20216147601604462,0.7978385090827942"
1,"{USERNAME}: Fuck off. LGBT isn’t a circus to parade around Poland, unless it is, then my apologies.",1,0,"0.8195753693580627,0.18042464554309845"
2,Fucking Mongol-Russian scum.,1,1,"0.04163245111703873,0.9583675265312195"
3,Fuck Israel.,1,0,"0.5589753985404968,0.4410246014595032"
4,"It’d be best to send them all out of Poland. Not only would there be more jobs for us, but we wouldn’t have to listen to that filthy language on the streets.",1,1,"0.09681914746761322,0.9031808376312256"
5,"{USERNAME}: Just rape the femoids, bro! ( ͡° ͜ʖ ͡°)",1,0,"0.8619227409362793,0.1380772441625595"
6,"{USERNAME}: They’ve got a few thousand soldiers armed with scrap, barely a dozen tanks, no air force... XD They’re probably as poorly trained as the rest of the Russian scum. Ukraine will fuck them up with a tiny tactical group, and they wouldn’t even notice. That’s why they won’t achieve much.",1,1,"0.1472807377576828,0.8527193069458008"
7,"{USERNAME}: They went and threw themselves off a bridge, couldn’t handle the pressure of pronouns XDDDD. Too bad it was so late.",1,0,"0.9092599749565125,0.09074001014232635"
8,"Of those 45% niggers, at least 70% bought their house with money from crime.",1,1,"0.04549043998122215,0.9545095562934875"
9,{USERNAME}: Julias to the gas.,1,0,"0.9887121915817261,0.011287764646112919"
10,Dispose of the trash. Rainbow leftism too (⌐ ͡■ ͜ʖ ͡■),1,0,"0.9732978343963623,0.026702092960476875"
11,"The English are cattle, and when they come here, they act like total pigs. Yet there are always some Poles kissing their asses to death. I don’t know if it’s to show off their English or hoping they’ll buy them drinks. I haven’t noticed the English sucking up to Poles like that in England.",1,0,"0.5213961601257324,0.47860389947891235"
12,{USERNAME} A typical nigger is typical.,1,1,"0.005595403723418713,0.9944045543670654"
13,"{USERNAME}: It’s true. PE teachers are usually the most liked. And female PE teachers usually have strong Kegel muscles—stick your dick in, and it squeezes like a nutcracker, not like the loose bags most Polish women have.",1,1,"0.05847325176000595,0.9415267705917358"
14,pFucking gay shit.,1,1,"0.012742681428790092,0.9872573018074036"
15,"The more gays, pedophiles, zoophiles, and other freaks in public spaces, the higher the chance they’ll get 60% support in the next elections. PO’s leaders must have studied political science in Shitsville and failed history miserably.",1,0,"0.7469614744186401,0.25303852558135986"
16,Nigger.,1,1,"0.3638686239719391,0.6361313462257385"
17,That’s why shills should be shot on sight and thrown into a lime pit or raped by horny pigs (animals on their IQ level). That’s rabble has shown what it’s capable of more than once.,1,0,"0.786040186882019,0.21395979821681976"
18,Little nigger girl?,1,0,"0.7123297452926636,0.28767022490501404"
19,{USERNAME}: You can’t prove your lie and started lying like every other Russian trash xD,1,1,"0.0199020616710186,0.9800978899002075"
20,"Fucking animal, they should just give him to other animals to fuck ¯(ツ)/¯ By the way, a soldier with that belly and tits? Are there no standards anymore?",1,0,"0.9028136134147644,0.09718640893697739"
21,"{USERNAME}: It’s probably a nigger, since black is the opposite of white, and considering the taste of the cheese, it’s probably a nigger, but that’s such obvious reasoning even a 10-year-old would get it.",1,1,"0.0646856501698494,0.9353143572807312"
22,"{USERNAME} You empty-headed fuck. Fags and dykes? You dog spawn, you dumb slut, you mental void.",1,1,"0.02607448399066925,0.9739254713058472"
23,"Mr. Jew probably doesn’t realize what it means for his people if historical facts are thoroughly checked. Suddenly, 6,000,000 becomes 600,000, and instead of gassing and ovens, it’s typhus.",1,0,"0.6649486422538757,0.3350513279438019"
24,"{USERNAME}: Used and worn out, probably just came from the cotton field.",1,1,"0.1913110911846161,0.8086889386177063"
25,{USERNAME}: You gotta be prepared but not scared of Russian scum…,1,1,"0.2437320351600647,0.7562679648399353"
26,"{USERNAME}: When I was a kid, I went through my parents’ divorce too. Turns out women are the biggest whores, only thinking about themselves. Hang in there, bro, support your brother-in-law and the kids, waiting for the next part.",1,1,"0.02818826027214527,0.9718117117881775"
27,"We’d need a steam cannon with chili, that mist would set them straight quick... Or gather packs of wolves and let them loose there, Muslims are scared of dogs because they’re “unclean” animals, and a wolf to boot ;@) #beautiful #watch",1,1,"0.445581316947937,0.5544186234474182"
28,{USERNAME}: Two years working on a cotton plantation should be enough for him to rethink his behavior.,1,0,"0.6652101874351501,0.33478984236717224"
29,"{USERNAME}: So you popped out of space around 2005 because a moron like you can’t be older than 15, and the fact that they fucked up and robbed the whole country didn’t hurt your ancestors or the next generations of your family. Unless you come from a Volksdeutsche family, then I have no questions. Sweet Jesus, Wykop is truly a place full of ordinary idiots. And the burgundy color is probably awarded for exceptional stupidity.",1,1,"0.27425581216812134,0.7257441282272339"
30,Chase down that rainbow Nazi!,1,0,"0.8696150779724121,0.13038486242294312"
31,"{USERNAME}: Russian is a synonym for whore, fag, savage {USERNAME}: If it got deleted.",1,0,"0.988303005695343,0.011696966364979744"
32,Wouldn’t it be cheaper to castrate all of Africa? ¯(ツ)/¯ Everyone would benefit.,1,1,"0.35691019892692566,0.643089771270752"
